,city,Latitude,Longitude,date,confirmed
267,Sittard-Geleen,51.0094043,5.8376057867167965,2020-03-04,0
268,Sliedrecht,51.8308564,4.769843031183671,2020-03-04,0
269,Sluis,51.3083996,3.3874159,2020-03-04,0
270,Smallingerland,53.11525265,6.050738915587699,2020-03-04,0
271,Soest,52.17338,5.31292,2020-03-04,0
272,Someren,51.3858887,5.7133677,2020-03-04,0
273,Son en Breugel,51.5178128,5.491434707574257,2020-03-04,0
274,Stadskanaal,52.9925618,6.9624466,2020-03-04,0
275,Staphorst,52.647276,6.2074792,2020-03-04,0
276,Stede Broec,52.697291899999996,5.225990311919762,2020-03-04,0
277,Steenbergen,51.58592,4.3145758,2020-03-04,0
278,Steenwijkerland,52.7478796,6.0232031497011835,2020-03-04,0
279,Stein,50.9694381,5.7669713,2020-03-04,0
280,Stichtse Vecht,52.20301145,4.994837650454457,2020-03-04,0
281,Súdwest Fryslân,52.974832649999996,5.436073892467922,2020-03-04,0
282,Súdwest-Fryslân,52.974832649999996,5.436073892467922,2020-03-04,0
283,Terneuzen,51.3254737,3.8403111,2020-03-04,0
284,Terschelling,53.3339055,5.351490875699594,2020-03-04,0
285,Texel,53.0775961,4.9057311371764385,2020-03-04,0
286,Teylingen,52.21739375,4.511393222538171,2020-03-04,0
287,Tholen,51.5354462,4.2232813,2020-03-04,0
288,Tiel,51.892425349999996,5.430438174137935,2020-03-04,0
289,Tilburg,51.55847,5.083076,2020-03-04,3
290,Tubbergen,52.4081084,6.7818694,2020-03-04,0
291,Twenterand,52.439304,6.635427575044659,2020-03-04,0
292,Tynaarlo,53.0770194,6.6175495,2020-03-04,0
293,Tytsjerksteradiel,53.20512135,5.973447146507526,2020-03-04,0
294,Uden,51.6590888,5.6148605,2020-03-04,0
295,Uitgeest,52.523293949999996,4.737466990272131,2020-03-04,0
296,Uithoorn,52.24400285,4.828160506359512,2020-03-04,0
297,Urk,52.6927959,5.457617050455788,2020-03-04,0
298,Utrecht,52.0949753,5.109708,2020-03-04,2
299,Utrechtse Heuvelrug,52.028653649999995,5.394884269227865,2020-03-04,0
300,Vaals,50.7710157,6.019049,2020-03-04,0
301,Valkenburg aan de Geul,50.86094405,5.813709999149556,2020-03-04,0
302,Valkenswaard,51.350688,5.4594497,2020-03-04,0
303,Veendam,53.1028443,6.8694863,2020-03-04,0
304,Veenendaal,52.02320415,5.551800233162295,2020-03-04,0
305,Veere,51.5475163,3.6660882,2020-03-04,0
306,Veldhoven,51.40770635,5.392731058176404,2020-03-04,0
307,Velsen,52.451910299999994,4.603891145874141,2020-03-04,0
308,Venlo,51.3702109,6.1688954,2020-03-04,0
309,Venray,51.5367139,5.972118187978204,2020-03-04,0
310,Vijfheerenlanden,51.9301978,5.049517114891252,2020-03-04,0
311,Vlaardingen,51.9227863,4.329563378870851,2020-03-04,0
312,Vlieland,53.202995,4.994912625567253,2020-03-04,0
313,Vlissingen,51.455681,3.57649,2020-03-04,0
314,Voerendaal,50.8804521,5.926962,2020-03-04,0
315,Voorschoten,52.12572195,4.441016864583206,2020-03-04,0
316,Voorst,52.1730487,6.1415761,2020-03-04,0
317,Vught,51.656821,5.2893308,2020-03-04,0
318,Waadhoeke,53.2460054,5.610797779708593,2020-03-04,0
319,Waalre,51.3876404,5.4476871,2020-03-04,0
320,Waalwijk,51.6852544,5.0705122,2020-03-04,0
321,Waddinxveen,52.0443437,4.641596120380745,2020-03-04,0
322,Wageningen,51.9685817,5.668298061827958,2020-03-04,0
323,Wassenaar,52.14361135,4.370966818678455,2020-03-04,0
324,Waterland,52.44350745,5.058109822038444,2020-03-04,0
325,Weert,51.2531334,5.7085827,2020-03-04,0
326,Weesp,52.30444305,5.0585343520066335,2020-03-04,0
327,West Betuwe,51.8697052,5.194137167944251,2020-03-04,0
328,West Maas en Waal,51.852191399999995,5.49837974702748,2020-03-04,0
329,Westerkwartier,53.21425645,6.3459813379440115,2020-03-04,0
330,Westerveld,52.82845325,6.311162261576614,2020-03-04,0
331,Westervoort,51.9597557,5.9682662318854725,2020-03-04,0
332,Westerwolde,52.999464450000005,7.1404588700937754,2020-03-04,0
333,Westland,51.99249,4.20763,2020-03-04,0
334,Weststellingwerf,52.87191835,6.008674359652279,2020-03-04,0
335,Westvoorne,51.8882976,4.059905590312815,2020-03-04,0
336,Wierden,52.35195215,6.567448420567358,2020-03-04,0
337,Wijchen,51.8099983,5.7362233,2020-03-04,0
338,Wijdemeren,52.2256115,5.090367791157206,2020-03-04,0
339,Wijk bij Duurstede,51.9775074,5.326929727283412,2020-03-04,0
340,Winterswijk,51.9746432,6.7224185,2020-03-04,0
341,Woensdrecht,51.4293059,4.304716,2020-03-04,0
342,Woerden,52.08701595,4.876687198673499,2020-03-04,0
343,Wormerland,52.505552249999994,4.85934288905351,2020-03-04,0
344,Woudenberg,52.08025955,5.4122265761644925,2020-03-04,0
345,Zaanstad,52.4689235,4.773783522451712,2020-03-04,0
346,Zaltbommel,51.8066578,5.2411204,2020-03-04,1
347,Zandvoort,52.3595916,4.53252402994204,2020-03-04,0
348,Zeewolde,52.331111,5.5430312,2020-03-04,0
349,Zeist,52.086531750000006,5.249007957671885,2020-03-04,0
350,Zevenaar,51.9357252,6.0789395,2020-03-04,0
351,Zoetermeer,52.06228915,4.487754553694883,2020-03-04,0
352,Zoeterwoude,52.11718945,4.503459502079346,2020-03-04,0
353,Zuidplas,51.9995787,4.613450887425165,2020-03-04,0
354,Zundert,51.4702197,4.6610472,2020-03-04,0
355,Zutphen,52.129267600000006,6.205983813687771,2020-03-04,0
356,Zwartewaterland,52.609919899999994,6.045522051921318,2020-03-04,0
357,Zwijndrecht,51.82052005,4.625731518379531,2020-03-04,0
358,Zwolle,52.5089759,6.0943765,2020-03-04,0
359,'s-Gravenhage,52.0799838,4.3113461,2020-03-05,0
360,'s-Hertogenbosch,51.6889351,5.3031044,2020-03-05,0
361,Aa en Hunze,52.9814393,6.729452061777957,2020-03-05,0
362,Aalsmeer,52.2658344,4.766170039669312,2020-03-05,0
363,Aalten,51.9285963,6.5810265,2020-03-05,0
364,Achtkarspelen,53.207516749999996,6.150763705175438,2020-03-05,0
365,Alblasserdam,51.8599524,4.666202275442476,2020-03-05,0
366,Albrandswaard,51.8524269,4.435285362646326,2020-03-05,0
367,Alkmaar,52.6312592,4.7503798,2020-03-05,0
368,Almelo,52.3567956,6.66725277634109,2020-03-05,0
369,Almere,52.375092,5.216168,2020-03-05,0
370,Alphen aan den Rijn,52.1343369,4.6561357,2020-03-05,1
371,Alphen-Chaam,51.50689565,4.871359861218567,2020-03-05,0
372,Altena,51.81456,4.99468,2020-03-05,4
373,Ameland,53.40670555,5.749159048908647,2020-03-05,0
374,Amersfoort,52.163773899999995,5.3965879493517015,2020-03-05,0
375,Amstelveen,52.2862177,4.852649259746028,2020-03-05,0
376,Amsterdam,52.3727598,4.8936041,2020-03-05,2
377,Apeldoorn,52.2156457,5.9639485,2020-03-05,0
378,Appingedam,53.318725150000006,6.844171069672516,2020-03-05,0
379,Arnhem,51.984257,5.9108573,2020-03-05,0
380,Assen,52.9953538,6.560553,2020-03-05,0
381,Asten,51.404091,5.7458688,2020-03-05,0
382,Baarle-Nassau,51.4432069,4.930569,2020-03-05,0
383,Baarn,52.2002549,5.269143393313942,2020-03-05,0
384,Barendrecht,51.85193795,4.52938352520747,2020-03-05,0
385,Barneveld,52.142479,5.5866392,2020-03-05,0
386,Beek,50.9413527,5.7977204,2020-03-05,0
387,BeekDaelen,50.93449595,5.88869051100548,2020-03-05,0
388,Beekdaelen,50.93449595,5.88869051100548,2020-03-05,0
389,Beemster,52.56245505,4.919867904155717,2020-03-05,0
390,Beesel,51.2688217,6.0416706,2020-03-05,0
391,Berg en Dal,51.825911,5.9100697,2020-03-05,0
392,Bergeijk,51.30452025,5.318413747169572,2020-03-05,0
393,Bergen (L),51.6012568,6.0469005,2020-03-05,0
394,Bergen (NH),52.66725715,4.697223541303441,2020-03-05,0
395,Bergen (NH.),52.66725715,4.697223541303441,2020-03-05,0
396,Bergen op Zoom,51.4965864,4.289740797263708,2020-03-05,0
397,Berkelland,52.10152,6.618404626883939,2020-03-05,0
398,Bernheze,51.683532850000006,5.521242816477055,2020-03-05,0
399,Best,51.510017,5.398661990056466,2020-03-05,1
400,Beuningen,51.8586611,5.767357,2020-03-05,0
401,Beverwijk,52.478626,4.6732036218509,2020-03-05,2
402,Bladel,51.3667765,5.2154317,2020-03-05,0
403,Blaricum,52.281133749999995,5.29371090566366,2020-03-05,1
404,Bloemendaal,52.4036594,4.6197687,2020-03-05,0
405,Bodegraven-Reeuwijk,52.0677553,4.7575800066386025,2020-03-05,0
406,Boekel,51.6029009,5.6726793,2020-03-05,0
407,Borger-Odoorn,52.9000925,6.8821614819282875,2020-03-05,0
408,Borne,52.3005,6.7555,2020-03-05,1
409,Borsele,51.42891125,3.8358844144895325,2020-03-05,0
410,Boxmeer,51.6486483,5.9450972,2020-03-05,0
411,Boxtel,51.593711,5.3278263,2020-03-05,0
412,Breda,51.5887845,4.7760237,2020-03-05,0
413,Brielle,51.907479,4.167086176739853,2020-03-05,0
414,Bronckhorst,52.0529087,6.269274781349422,2020-03-05,0
415,Brummen,52.087327,6.1568633,2020-03-05,0
416,Brunssum,50.943821549999996,5.974825084719281,2020-03-05,0
417,Bunnik,52.0663713,5.1940676,2020-03-05,0
418,Bunschoten,52.2391743,5.3734101,2020-03-05,0
419,Buren,51.9112553,5.3338217,2020-03-05,0
420,Capelle aan den IJssel,51.935853800000004,4.589460935511152,2020-03-05,0
421,Castricum,52.558830549999996,4.639675526200153,2020-03-05,0
422,Coevorden,52.65266925,6.739318887009727,2020-03-05,3
423,Cranendonck,51.286919,5.5810952873530475,2020-03-05,0
424,Cuijk,51.729939,5.8800458,2020-03-05,0
425,Culemborg,51.94933145,5.209215183621777,2020-03-05,1
426,Dalfsen,52.5111721,6.253911,2020-03-05,0
427,Dantumadiel,53.27651665,5.967811226529737,2020-03-05,0
428,De Bilt,52.1097009,5.178706,2020-03-05,2
429,De Fryske Marren,52.9118448,5.713876378916552,2020-03-05,0
430,De Ronde Venen,52.2325145,4.920240947843794,2020-03-05,0
431,De Wolden,52.70557745,6.338954173954216,2020-03-05,0
432,Delft,52.0114017,4.35839,2020-03-05,1
433,Delfzijl,53.380921799999996,6.931098359661039,2020-03-05,0
434,Den Helder,52.9529894,4.8267591994488,2020-03-05,0
