"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Druten";225;"Druten";18991;"30-03-2022";"12-04-2022";147;774.1;7;36.9;0;0
"Duiven";226;"Duiven";25066;"30-03-2022";"12-04-2022";240;957.5;1;4;0;0
"Echt-Susteren";1711;"Echt-Susteren";31751;"30-03-2022";"12-04-2022";243;765.3;3;9.4;1;3.1
"Edam-Volendam";385;"Edam-Volendam";36268;"30-03-2022";"12-04-2022";446;1229.7;6;16.5;0;0
"Ede";228;"Ede";118530;"30-03-2022";"12-04-2022";1243;1048.7;4;3.4;2;1.7
"Eemnes";317;"Eemnes";9362;"30-03-2022";"12-04-2022";85;907.9;0;0;0;0
"Eemsdelta";1979;"Eemsdelta";45587;"30-03-2022";"12-04-2022";523;1147.3;9;19.7;0;0
"Eersel";770;"Eersel";19528;"30-03-2022";"12-04-2022";155;793.7;0;0;0;0
"Eijsden-Margraten";1903;"Eijsden-Margraten";25900;"30-03-2022";"12-04-2022";191;737.5;0;0;0;0
"Eindhoven";772;"Eindhoven";235691;"30-03-2022";"12-04-2022";1610;683.1;21;8.9;1;0.4
"Elburg";230;"Elburg";23429;"30-03-2022";"12-04-2022";253;1079.9;3;12.8;0;0
"Emmen";114;"Emmen";107024;"30-03-2022";"12-04-2022";1022;954.9;16;14.9;1;0.9
"Enkhuizen";388;"Enkhuizen";18637;"30-03-2022";"12-04-2022";137;735.1;3;16.1;0;0
"Enschede";153;"Enschede";159732;"30-03-2022";"12-04-2022";1801;1127.5;17;10.6;2;1.3
"Epe";232;"Epe";33198;"30-03-2022";"12-04-2022";371;1117.5;5;15.1;1;3
"Ermelo";233;"Ermelo";27016;"30-03-2022";"12-04-2022";240;888.4;3;11.1;0;0
"Etten-Leur";777;"Etten-Leur";43869;"30-03-2022";"12-04-2022";327;745.4;4;9.1;0;0
"Geertruidenberg";779;"Geertruidenberg";21770;"30-03-2022";"12-04-2022";131;601.7;2;9.2;0;0
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";40066;"30-03-2022";"12-04-2022";314;783.7;5;12.5;0;0
"Gemert-Bakel";1652;"Gemert-Bakel";30760;"30-03-2022";"12-04-2022";177;575.4;4;13;0;0
"Gennep";907;"Gennep";17035;"30-03-2022";"12-04-2022";140;821.8;2;11.7;0;0
"Gilze en Rijen";784;"Gilze en Rijen";26723;"30-03-2022";"12-04-2022";191;714.7;4;15;0;0
"Goeree-Overflakkee";1924;"Goeree-Overflakkee";50589;"30-03-2022";"12-04-2022";379;749.2;9;17.8;0;0
"Goes";664;"Goes";38594;"30-03-2022";"12-04-2022";475;1230.8;5;13;0;0
"Goirle";785;"Goirle";23952;"30-03-2022";"12-04-2022";172;718.1;3;12.5;0;0
"Gooise Meren";1942;"Gooise Meren";58524;"30-03-2022";"12-04-2022";511;873.1;5;8.5;0;0
"Gorinchem";512;"Gorinchem";37410;"30-03-2022";"12-04-2022";338;903.5;5;13.4;0;0
"Gouda";513;"Gouda";73681;"30-03-2022";"12-04-2022";788;1069.5;12;16.3;0;0
"Groningen";14;"Groningen";233273;"30-03-2022";"12-04-2022";2519;1079.9;22;9.4;1;0.4
