"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000"
"Rucphen";23326;"11-01-2023";"24-01-2023";2;8,6;0;0
"Schagen";46833;"11-01-2023";"24-01-2023";8;17,1;1;2,1
"Scherpenzeel";10317;"11-01-2023";"24-01-2023";1;9,7;0;0
"Schiedam";79644;"11-01-2023";"24-01-2023";13;16,3;4;5
"Schiermonnikoog";944;"11-01-2023";"24-01-2023";0;0;0;0
"Schouwen-Duiveland";34152;"11-01-2023";"24-01-2023";8;23,4;0;0
"Simpelveld";10425;"11-01-2023";"24-01-2023";5;48;0;0
"Sint-Michielsgestel";29731;"11-01-2023";"24-01-2023";3;10,1;0;0
"Sittard-Geleen";91719;"11-01-2023";"24-01-2023";24;26,2;6;6,5
"Sliedrecht";25897;"11-01-2023";"24-01-2023";9;34,8;2;7,7
"Sluis";23141;"11-01-2023";"24-01-2023";4;17,3;1;4,3
"Smallingerland";55895;"11-01-2023";"24-01-2023";6;10,7;0;0
"Soest";47113;"11-01-2023";"24-01-2023";9;19,1;0;0
"Someren";19701;"11-01-2023";"24-01-2023";6;30,5;1;5,1
"Son en Breugel";17775;"11-01-2023";"24-01-2023";3;16,9;0;0
"Stadskanaal";31851;"11-01-2023";"24-01-2023";5;15,7;0;0
"Staphorst";17282;"11-01-2023";"24-01-2023";3;17,4;0;0
"Stede Broec";21947;"11-01-2023";"24-01-2023";3;13,7;0;0
"Steenbergen";24333;"11-01-2023";"24-01-2023";0;0;1;4,1
"Steenwijkerland";44741;"11-01-2023";"24-01-2023";5;11,2;1;2,2
"Stein";24803;"11-01-2023";"24-01-2023";9;36,3;3;12,1
"Stichtse Vecht";65240;"11-01-2023";"24-01-2023";8;12,3;0;0
"Súdwest-Fryslân";90300;"11-01-2023";"24-01-2023";13;14,4;3;3,3
"Terneuzen";54501;"11-01-2023";"24-01-2023";11;20,2;3;5,5
"Terschelling";4960;"11-01-2023";"24-01-2023";0;0;0;0
"Texel";13687;"11-01-2023";"24-01-2023";1;7,3;0;0
"Teylingen";37942;"11-01-2023";"24-01-2023";11;29;2;5,3
"Tholen";26401;"11-01-2023";"24-01-2023";3;11,4;0;0
"Tiel";42277;"11-01-2023";"24-01-2023";10;23,7;5;11,8
"Tilburg";224459;"11-01-2023";"24-01-2023";36;16;5;2,2
"Tubbergen";21364;"11-01-2023";"24-01-2023";5;23,4;1;4,7
"Twenterand";33718;"11-01-2023";"24-01-2023";6;17,8;0;0
"Tynaarlo";34221;"11-01-2023";"24-01-2023";5;14,6;1;2,9
"Tytsjerksteradiel";32282;"11-01-2023";"24-01-2023";2;6,2;0;0
"Uitgeest";13563;"11-01-2023";"24-01-2023";3;22,1;0;0
"Uithoorn";31018;"11-01-2023";"24-01-2023";2;6,4;1;3,2
"Urk";21468;"11-01-2023";"24-01-2023";0;0;0;0
"Utrecht";361699;"11-01-2023";"24-01-2023";64;17,7;12;3,3
"Utrechtse Heuvelrug";49981;"11-01-2023";"24-01-2023";6;12;3;6
"Vaals";10135;"11-01-2023";"24-01-2023";3;29,6;1;9,9
"Valkenburg aan de Geul";16167;"11-01-2023";"24-01-2023";1;6,2;0;0
"Valkenswaard";31236;"11-01-2023";"24-01-2023";7;22,4;2;6,4
"Veendam";27466;"11-01-2023";"24-01-2023";11;40;0;0
"Veenendaal";67671;"11-01-2023";"24-01-2023";9;13,3;2;3
"Veere";21850;"11-01-2023";"24-01-2023";5;22,9;1;4,6
"Veldhoven";45822;"11-01-2023";"24-01-2023";9;19,6;3;6,5
"Velsen";68482;"11-01-2023";"24-01-2023";21;30,7;0;0
"Venlo";102136;"11-01-2023";"24-01-2023";18;17,6;0;0
"Venray";43964;"11-01-2023";"24-01-2023";8;18,2;2;4,5
"Vijfheerenlanden";58788;"11-01-2023";"24-01-2023";8;13,6;1;1,7
"Vlaardingen";74143;"11-01-2023";"24-01-2023";10;13,5;2;2,7
"Vlieland";1195;"11-01-2023";"24-01-2023";0;0;0;0
"Vlissingen";44585;"11-01-2023";"24-01-2023";11;24,7;1;2,2
"Voerendaal";12426;"11-01-2023";"24-01-2023";5;40,2;0;0
"Voorne aan Zee";73238;"11-01-2023";"24-01-2023";14;19,1;6;8,2
"Voorschoten";25627;"11-01-2023";"24-01-2023";5;19,5;4;15,6
"Voorst";24994;"11-01-2023";"24-01-2023";3;12;0;0
"Vught";31783;"11-01-2023";"24-01-2023";1;3,1;1;3,1
"Waadhoeke";46309;"11-01-2023";"24-01-2023";10;21,6;1;2,2
"Waalre";17626;"11-01-2023";"24-01-2023";1;5,7;1;5,7
"Waalwijk";49342;"11-01-2023";"24-01-2023";3;6,1;2;4,1
"Waddinxveen";31342;"11-01-2023";"24-01-2023";5;16;1;3,2
"Wageningen";39939;"11-01-2023";"24-01-2023";6;15;0;0
"Wassenaar";27115;"11-01-2023";"24-01-2023";4;14,8;0;0
"Waterland";17343;"11-01-2023";"24-01-2023";4;23,1;2;11,5
"Weert";50346;"11-01-2023";"24-01-2023";9;17,9;0;0
"West Betuwe";51971;"11-01-2023";"24-01-2023";9;17,3;5;9,6
"West Maas en Waal";19675;"11-01-2023";"24-01-2023";9;45,7;1;5,1
"Westerkwartier";64306;"11-01-2023";"24-01-2023";8;12,4;2;3,1
"Westerveld";19854;"11-01-2023";"24-01-2023";5;25,2;0;0
"Westervoort";14944;"11-01-2023";"24-01-2023";9;60,2;1;6,7
"Westerwolde";26571;"11-01-2023";"24-01-2023";3;11,3;0;0
"Westland";112448;"11-01-2023";"24-01-2023";31;27,6;5;4,4
"Weststellingwerf";26278;"11-01-2023";"24-01-2023";6;22,8;4;15,2
"Wierden";24643;"11-01-2023";"24-01-2023";4;16,2;1;4,1
"Wijchen";41344;"11-01-2023";"24-01-2023";8;19,3;1;2,4
"Wijdemeren";24494;"11-01-2023";"24-01-2023";0;0;0;0
"Wijk bij Duurstede";23921;"11-01-2023";"24-01-2023";4;16,7;3;12,5
"Winterswijk";29185;"11-01-2023";"24-01-2023";1;3,4;1;3,4
"Woensdrecht";22112;"11-01-2023";"24-01-2023";1;4,5;0;0
"Woerden";52882;"11-01-2023";"24-01-2023";11;20,8;1;1,9
"Wormerland";16381;"11-01-2023";"24-01-2023";5;30,5;0;0
"Woudenberg";13873;"11-01-2023";"24-01-2023";0;0;0;0
"Zaanstad";157166;"11-01-2023";"24-01-2023";33;21;3;1,9
"Zaltbommel";29957;"11-01-2023";"24-01-2023";6;20;1;3,3
"Zandvoort";17107;"11-01-2023";"24-01-2023";5;29,2;0;0
"Zeewolde";23348;"11-01-2023";"24-01-2023";3;12,8;1;4,3
"Zeist";65987;"11-01-2023";"24-01-2023";34;51,5;5;7,6
"Zevenaar";44645;"11-01-2023";"24-01-2023";11;24,6;0;0
"Zoetermeer";125767;"11-01-2023";"24-01-2023";18;14,3;3;2,4
"Zoeterwoude";9302;"11-01-2023";"24-01-2023";4;43;0;0
"Zuidplas";45794;"11-01-2023";"24-01-2023";10;21,8;3;6,6
"Zundert";22260;"11-01-2023";"24-01-2023";4;18;2;9
"Zutphen";48330;"11-01-2023";"24-01-2023";7;14,5;0;0
"Zwartewaterland";23012;"11-01-2023";"24-01-2023";3;13;0;0
"Zwijndrecht";44789;"11-01-2023";"24-01-2023";11;24,6;3;6,7
"Zwolle";130668;"11-01-2023";"24-01-2023";19;14,5;6;4,6
