"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000";"Aantal x100 miljard"
"Lisse";23015;"17-4-2023";"23-4-2023";0;0;733,08
"Lochem";34069;"17-4-2023";"23-4-2023";1;2,9;724,09
"Loon op Zand";23768;"17-4-2023";"23-4-2023";0;0;347,5
"Lopik";14512;"17-4-2023";"23-4-2023";0;0;171,13
"Losser";23084;"17-4-2023";"23-4-2023";1;4,3;643,43
"Maasdriel";25504;"17-4-2023";"23-4-2023";0;0;68,62
"Maasgouw";24028;"17-4-2023";"23-4-2023";0;0;113,95
"Maashorst";58362;"17-4-2023";"23-4-2023";0;0;136,28
"Maassluis";34148;"17-4-2023";"23-4-2023";2;5,9;690,06
"Maastricht";121151;"17-4-2023";"23-4-2023";0;0;211,62
"Medemblik";45464;"17-4-2023";"23-4-2023";1;2,2;262,41
"Meerssen";18581;"17-4-2023";"23-4-2023";0;0;188,21
"Meierijstad";82613;"17-4-2023";"23-4-2023";1;1,2;128,32
"Meppel";34761;"17-4-2023";"23-4-2023";2;5,8;475,56
"Middelburg";49199;"17-4-2023";"23-4-2023";0;0;987,3
"Midden-Delfland";19484;"17-4-2023";"23-4-2023";0;0;422,94
"Midden-Drenthe";33689;"17-4-2023";"23-4-2023";0;0;565,93
"Midden-Groningen";60898;"17-4-2023";"23-4-2023";1;1,6;554,94
"Moerdijk";37313;"17-4-2023";"23-4-2023";0;0;201,95
"Molenlanden";44644;"17-4-2023";"23-4-2023";0;0;309,11
"Montferland";36359;"17-4-2023";"23-4-2023";2;5,5;455,62
"Montfoort";13818;"17-4-2023";"23-4-2023";1;7,2;233,81
"Mook en Middelaar";7989;"17-4-2023";"23-4-2023";0;0;294,07
"Neder-Betuwe";25032;"17-4-2023";"23-4-2023";0;0;521,94
"Nederweert";17323;"17-4-2023";"23-4-2023";0;0;436,98
"Nieuwegein";64554;"17-4-2023";"23-4-2023";3;4,6;855,07
"Nieuwkoop";29304;"17-4-2023";"23-4-2023";3;10,2;
"Nijkerk";44311;"17-4-2023";"23-4-2023";0;0;272,11
"Nijmegen";179100;"17-4-2023";"23-4-2023";3;1,7;670,29
"Nissewaard";86332;"17-4-2023";"23-4-2023";0;0;1167,08
"Noardeast-Fryslân";45593;"17-4-2023";"23-4-2023";0;0;297,21
"Noord-Beveland";7668;"17-4-2023";"23-4-2023";0;0;263,91
"Noordenveld";31238;"17-4-2023";"23-4-2023";0;0;278,78
"Noordoostpolder";48048;"17-4-2023";"23-4-2023";1;2,1;559
"Noordwijk";44365;"17-4-2023";"23-4-2023";2;4,5;529,09
"Nuenen, Gerwen en Nederwetten";23826;"17-4-2023";"23-4-2023";0;0;276,88
"Nunspeet";28223;"17-4-2023";"23-4-2023";1;3,5;335,8
"Oegstgeest";25499;"17-4-2023";"23-4-2023";0;0;2262,25
"Oirschot";19061;"17-4-2023";"23-4-2023";0;0;128,51
"Oisterwijk";32503;"17-4-2023";"23-4-2023";0;0;212,89
"Oldambt";38521;"17-4-2023";"23-4-2023";0;0;
"Oldebroek";23930;"17-4-2023";"23-4-2023";2;8,4;1542,74
"Oldenzaal";31741;"17-4-2023";"23-4-2023";0;0;
"Olst-Wijhe";18496;"17-4-2023";"23-4-2023";2;10,8;379,69
"Ommen";18457;"17-4-2023";"23-4-2023";2;10,8;1192,51
"Oost Gelre";29603;"17-4-2023";"23-4-2023";0;0;620,19
"Oosterhout";56535;"17-4-2023";"23-4-2023";6;10,6;263,44
"Ooststellingwerf";25680;"17-4-2023";"23-4-2023";1;3,9;616,75
"Oostzaan";9639;"17-4-2023";"23-4-2023";0;0;363,66
"Opmeer";12074;"17-4-2023";"23-4-2023";1;8,3;285,27
"Opsterland";29791;"17-4-2023";"23-4-2023";0;0;1082
"Oss";93307;"17-4-2023";"23-4-2023";1;1,1;67,43
"Oude IJsselstreek";39387;"17-4-2023";"23-4-2023";3;7,6;595,78
"Ouder-Amstel";14212;"17-4-2023";"23-4-2023";0;0;672,73
"Oudewater";10159;"17-4-2023";"23-4-2023";0;0;195,63
"Overbetuwe";48266;"17-4-2023";"23-4-2023";0;0;346,21
"Papendrecht";32208;"17-4-2023";"23-4-2023";0;0;385,96
"Peel en Maas";44278;"17-4-2023";"23-4-2023";0;0;168,31
"Pekela";12196;"17-4-2023";"23-4-2023";1;8,2;504,81
"Pijnacker-Nootdorp";56572;"17-4-2023";"23-4-2023";0;0;284,88
"Purmerend";92240;"17-4-2023";"23-4-2023";2;2,2;536,24
"Putten";24598;"17-4-2023";"23-4-2023";0;0;552,99
"Raalte";38140;"17-4-2023";"23-4-2023";0;0;442,18
"Reimerswaal";22920;"17-4-2023";"23-4-2023";1;4,4;227,57
"Renkum";31358;"17-4-2023";"23-4-2023";0;0;537,33
"Renswoude";5651;"17-4-2023";"23-4-2023";0;0;1039,04
"Reusel-De Mierden";13271;"17-4-2023";"23-4-2023";0;0;107,98
"Rheden";43435;"17-4-2023";"23-4-2023";0;0;320,87
"Rhenen";20265;"17-4-2023";"23-4-2023";0;0;1039,04
"Ridderkerk";47099;"17-4-2023";"23-4-2023";0;0;830,92
"Rijssen-Holten";38231;"17-4-2023";"23-4-2023";0;0;403,67
"Rijswijk";56941;"17-4-2023";"23-4-2023";0;0;284,88
"Roerdalen";20558;"17-4-2023";"23-4-2023";0;0;97,2
"Roermond";59184;"17-4-2023";"23-4-2023";0;0;97,2
"Roosendaal";77244;"17-4-2023";"23-4-2023";0;0;175,84
"Rotterdam";655468;"17-4-2023";"23-4-2023";21;3,2;731,71
"Rozendaal";1756;"17-4-2023";"23-4-2023";0;0;266,3
"Rucphen";23326;"17-4-2023";"23-4-2023";0;0;176,14
"Schagen";46833;"17-4-2023";"23-4-2023";0;0;229,98
"Scherpenzeel";10317;"17-4-2023";"23-4-2023";0;0;531,83
"Schiedam";79644;"17-4-2023";"23-4-2023";6;7,5;690,17
"Schiermonnikoog";944;"17-4-2023";"23-4-2023";0;0;
"Schouwen-Duiveland";34152;"17-4-2023";"23-4-2023";0;0;1203,19
"Simpelveld";10425;"17-4-2023";"23-4-2023";0;0;960,66
"Sint-Michielsgestel";29731;"17-4-2023";"23-4-2023";0;0;502,39
"Sittard-Geleen";91719;"17-4-2023";"23-4-2023";1;1,1;162,12
"Sliedrecht";25897;"17-4-2023";"23-4-2023";0;0;
"Sluis";23141;"17-4-2023";"23-4-2023";0;0;455,62
"Smallingerland";55895;"17-4-2023";"23-4-2023";0;0;738,57
"Soest";47113;"17-4-2023";"23-4-2023";0;0;452,56
"Someren";19701;"17-4-2023";"23-4-2023";0;0;155,93
"Son en Breugel";17775;"17-4-2023";"23-4-2023";0;0;269,64
"Stadskanaal";31851;"17-4-2023";"23-4-2023";2;6,3;791,74
"Staphorst";17282;"17-4-2023";"23-4-2023";0;0;470,24
"Stede Broec";21947;"17-4-2023";"23-4-2023";0;0;262,37
"Steenbergen";24333;"17-4-2023";"23-4-2023";0;0;164,38
"Steenwijkerland";44741;"17-4-2023";"23-4-2023";1;2,2;1282,79
"Stein";24803;"17-4-2023";"23-4-2023";1;4;461,25
"Stichtse Vecht";65240;"17-4-2023";"23-4-2023";1;1,5;675,17
"Súdwest-Fryslân";90300;"17-4-2023";"23-4-2023";1;1,1;601,6
"Terneuzen";54501;"17-4-2023";"23-4-2023";0;0;850,34
"Terschelling";4960;"17-4-2023";"23-4-2023";0;0;
"Texel";13687;"17-4-2023";"23-4-2023";0;0;1017,82
"Teylingen";37942;"17-4-2023";"23-4-2023";2;5,3;1333,02
"Tholen";26401;"17-4-2023";"23-4-2023";1;3,8;431,65
"Tiel";42277;"17-4-2023";"23-4-2023";0;0;
"Tilburg";224459;"17-4-2023";"23-4-2023";0;0;211,3
"Tubbergen";21364;"17-4-2023";"23-4-2023";0;0;375,89
"Twenterand";33718;"17-4-2023";"23-4-2023";1;3;359,83
"Tynaarlo";34221;"17-4-2023";"23-4-2023";0;0;508,73
"Tytsjerksteradiel";32282;"17-4-2023";"23-4-2023";0;0;407,43
"Uitgeest";13563;"17-4-2023";"23-4-2023";0;0;
"Uithoorn";31018;"17-4-2023";"23-4-2023";0;0;663
"Urk";21468;"17-4-2023";"23-4-2023";0;0;559
"Utrecht";361699;"17-4-2023";"23-4-2023";8;2,2;1522,23
"Utrechtse Heuvelrug";49981;"17-4-2023";"23-4-2023";0;0;932,94
"Vaals";10135;"17-4-2023";"23-4-2023";0;0;1807,02
"Valkenburg aan de Geul";16167;"17-4-2023";"23-4-2023";0;0;189,11
"Valkenswaard";31236;"17-4-2023";"23-4-2023";0;0;276,88
"Veendam";27466;"17-4-2023";"23-4-2023";1;3,6;503,57
"Veenendaal";67671;"17-4-2023";"23-4-2023";0;0;1039,04
"Veere";21850;"17-4-2023";"23-4-2023";1;4,6;987,3
"Veldhoven";45822;"17-4-2023";"23-4-2023";1;2,2;276,88
"Velsen";68482;"17-4-2023";"23-4-2023";1;1,5;400,77
"Venlo";102136;"17-4-2023";"23-4-2023";0;0;
"Venray";43964;"17-4-2023";"23-4-2023";0;0;416,04
"Vijfheerenlanden";58788;"17-4-2023";"23-4-2023";1;1,7;836,73
"Vlaardingen";74143;"17-4-2023";"23-4-2023";1;1,3;690,06
"Vlieland";1195;"17-4-2023";"23-4-2023";0;0;1250,3
"Vlissingen";44585;"17-4-2023";"23-4-2023";0;0;987,3
"Voerendaal";12426;"17-4-2023";"23-4-2023";0;0;120,75
"Voorne aan Zee";73238;"17-4-2023";"23-4-2023";2;2,7;543,61
"Voorschoten";25627;"17-4-2023";"23-4-2023";2;7,8;363,31
"Voorst";24994;"17-4-2023";"23-4-2023";1;4;591,27
"Vught";31783;"17-4-2023";"23-4-2023";0;0;276,29
"Waadhoeke";46309;"17-4-2023";"23-4-2023";0;0;475,33
"Waalre";17626;"17-4-2023";"23-4-2023";0;0;276,88
"Waalwijk";49342;"17-4-2023";"23-4-2023";0;0;305,64
"Waddinxveen";31342;"17-4-2023";"23-4-2023";0;0;377,09
"Wageningen";39939;"17-4-2023";"23-4-2023";0;0;534,75
"Wassenaar";27115;"17-4-2023";"23-4-2023";0;0;284,88
"Waterland";17343;"17-4-2023";"23-4-2023";0;0;500,99
"Weert";50346;"17-4-2023";"23-4-2023";0;0;462,77
"West Betuwe";51971;"17-4-2023";"23-4-2023";1;1,9;553,03
"West Maas en Waal";19675;"17-4-2023";"23-4-2023";1;5,1;232,23
"Westerkwartier";64306;"17-4-2023";"23-4-2023";0;0;296,71
"Westerveld";19854;"17-4-2023";"23-4-2023";1;5;474,59
"Westervoort";14944;"17-4-2023";"23-4-2023";0;0;266,3
"Westerwolde";26571;"17-4-2023";"23-4-2023";1;3,8;1392,83
"Westland";112448;"17-4-2023";"23-4-2023";4;3,6;715,85
"Weststellingwerf";26278;"17-4-2023";"23-4-2023";0;0;623,72
"Wierden";24643;"17-4-2023";"23-4-2023";0;0;351,84
"Wijchen";41344;"17-4-2023";"23-4-2023";2;4,8;629,62
"Wijdemeren";24494;"17-4-2023";"23-4-2023";0;0;639,17
"Wijk bij Duurstede";23921;"17-4-2023";"23-4-2023";0;0;542,8
"Winterswijk";29185;"17-4-2023";"23-4-2023";0;0;632,38
"Woensdrecht";22112;"17-4-2023";"23-4-2023";0;0;383,31
"Woerden";52882;"17-4-2023";"23-4-2023";0;0;719,32
"Wormerland";16381;"17-4-2023";"23-4-2023";0;0;534,33
"Woudenberg";13873;"17-4-2023";"23-4-2023";0;0;532,66
"Zaanstad";157166;"17-4-2023";"23-4-2023";1;0,6;846,47
"Zaltbommel";29957;"17-4-2023";"23-4-2023";0;0;59,35
"Zandvoort";17107;"17-4-2023";"23-4-2023";0;0;669,77
