"Gemeente";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Nijkerk";60;139;22;51;3;6.9
"Nijmegen";651;366.4;128;72;69;38.8
"Nissewaard";182;213.5;55;64.5;17;19.9
"Noardeast-Fryslân";28;61.9;6;13.3;4;8.8
"Noord-Beveland";10;135.2;1;13.5;0;0
"Noordenveld";21;67.2;4;12.8;1;3.2
"Noordoostpolder";81;171.4;14;29.6;10;21.2
"Noordwijk";49;112.6;18;41.4;3;6.9
"Nuenen, Gerwen en Nederwetten";54;231;18;77;9;38.5
"Nunspeet";222;797.3;56;201.1;21;75.4
"Oegstgeest";42;169.1;8;32.2;3;12.1
"Oirschot";64;341.8;13;69.4;9;48.1
"Oisterwijk";72;274.4;23;87.6;11;41.9
"Oldambt";13;34;7;18.3;2;5.2
"Oldebroek";171;723.2;40;169.2;19;80.4
"Oldenzaal";50;157.1;14;44;7;22
"Olst-Wijhe";51;279.4;12;65.7;8;43.8
"Ommen";53;294.3;9;50;2;11.1
"Oost Gelre";68;229.6;17;57.4;6;20.3
"Oosterhout";130;232.2;48;85.7;17;30.4
"Ooststellingwerf";7;27.5;3;11.8;0;0
"Oostzaan";26;267.1;11;113;2;20.5
"Opmeer";8;67.6;1;8.4;1;8.4
"Opsterland";23;77.3;7;23.5;0;0
"Oss";486;528.7;164;178.4;87;94.6
"Oude IJsselstreek";78;198;21;53.3;9;22.8
"Ouder-Amstel";38;270.9;5;35.6;0;0
"Oudewater";58;567.2;26;254.3;8;78.2
"Overbetuwe";135;281.8;57;119;16;33.4
"Papendrecht";76;236.5;9;28;8;24.9
"Peel en Maas";275;633.3;144;331.6;64;147.4
"Pekela";5;41;4;32.8;0;0
"Pijnacker-Nootdorp";122;220.5;24;43.4;16;28.9
"Purmerend";224;275.8;66;81.2;34;41.9
"Putten";33;136.9;10;41.5;0;0
"Raalte";151;400.4;24;63.6;17;45.1
"Reimerswaal";32;140.8;4;17.6;2;8.8
"Renkum";78;248.4;14;44.6;7;22.3
"Renswoude";19;348.8;5;91.8;5;91.8
"Reusel-De Mierden";23;175.4;11;83.9;2;15.3
"Rheden";145;331.5;34;77.7;14;32
"Rhenen";48;238.5;11;54.7;6;29.8
"Ridderkerk";148;320.3;37;80.1;16;34.6
"Rijssen-Holten";201;526.5;30;78.6;22;57.6
"Rijswijk";138;253.5;36;66.1;22;40.4
"Roerdalen";49;238.2;28;136.1;8;38.9
"Roermond";135;231.7;59;101.3;23;39.5
"Roosendaal";221;286.2;28;36.3;21;27.2
"Rotterdam";2568;394.2;516;79.2;341;52.4
"Rozendaal";3;176;1;58.7;0;0
"Rucphen";68;297.3;9;39.3;9;39.3
"s-Gravenhage";1679;308;333;61.1;234;42.9
"Schagen";74;159.2;19;40.9;10;21.5
"Scherpenzeel";33;334;4;40.5;2;20.2
"Schiedam";244;309.9;57;72.4;23;29.2
"Schiermonnikoog";0;0;0;0;0;0
"Schouwen-Duiveland";92;271.7;11;32.5;8;23.6
"Simpelveld";47;445.4;19;180.1;5;47.4
"Sint Anthonis";68;582.6;20;171.4;11;94.2
