"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000"
"Land van Cuijk";90707;"15-02-2023";"28-02-2023";60;66,1;5;5,5
"Landgraaf";37023;"15-02-2023";"28-02-2023";13;35,1;0;0
"Landsmeer";11560;"15-02-2023";"28-02-2023";2;17,3;0;0
"Lansingerland";64110;"15-02-2023";"28-02-2023";29;45,2;6;9,4
"Laren";11528;"15-02-2023";"28-02-2023";6;52;0;0
"Leeuwarden";125504;"15-02-2023";"28-02-2023";39;31,1;6;4,8
"Leiden";125074;"15-02-2023";"28-02-2023";47;37,6;6;4,8
"Leiderdorp";27464;"15-02-2023";"28-02-2023";6;21,8;2;7,3
"Leidschendam-Voorburg";76659;"15-02-2023";"28-02-2023";20;26,1;2;2,6
"Lelystad";81214;"15-02-2023";"28-02-2023";25;30,8;3;3,7
"Leudal";35928;"15-02-2023";"28-02-2023";9;25,1;0;0
"Leusden";30713;"15-02-2023";"28-02-2023";28;91,2;1;3,3
"Lingewaard";46963;"15-02-2023";"28-02-2023";20;42,6;4;8,5
"Lisse";23015;"15-02-2023";"28-02-2023";7;30,4;0;0
"Lochem";34069;"15-02-2023";"28-02-2023";9;26,4;2;5,9
"Loon op Zand";23768;"15-02-2023";"28-02-2023";24;101;0;0
"Lopik";14512;"15-02-2023";"28-02-2023";5;34,5;1;6,9
"Losser";23084;"15-02-2023";"28-02-2023";9;39;2;8,7
"Maasdriel";25504;"15-02-2023";"28-02-2023";21;82,3;4;15,7
"Maasgouw";24028;"15-02-2023";"28-02-2023";25;104;1;4,2
"Maashorst";58362;"15-02-2023";"28-02-2023";25;42,8;3;5,1
"Maassluis";34148;"15-02-2023";"28-02-2023";10;29,3;1;2,9
"Maastricht";121151;"15-02-2023";"28-02-2023";86;71;1;0,8
"Medemblik";45464;"15-02-2023";"28-02-2023";9;19,8;2;4,4
"Meerssen";18581;"15-02-2023";"28-02-2023";15;80,7;0;0
"Meierijstad";82613;"15-02-2023";"28-02-2023";31;37,5;3;3,6
"Meppel";34761;"15-02-2023";"28-02-2023";19;54,7;6;17,3
"Middelburg";49199;"15-02-2023";"28-02-2023";9;18,3;1;2
"Midden-Delfland";19484;"15-02-2023";"28-02-2023";4;20,5;0;0
"Midden-Drenthe";33689;"15-02-2023";"28-02-2023";14;41,6;1;3
"Midden-Groningen";60898;"15-02-2023";"28-02-2023";17;27,9;1;1,6
"Moerdijk";37313;"15-02-2023";"28-02-2023";12;32,2;5;13,4
"Molenlanden";44644;"15-02-2023";"28-02-2023";9;20,2;0;0
"Montferland";36359;"15-02-2023";"28-02-2023";32;88;6;16,5
"Montfoort";13818;"15-02-2023";"28-02-2023";4;28,9;0;0
"Mook en Middelaar";7989;"15-02-2023";"28-02-2023";3;37,6;1;12,5
"Neder-Betuwe";25032;"15-02-2023";"28-02-2023";3;12;1;4
"Nederweert";17323;"15-02-2023";"28-02-2023";8;46,2;1;5,8
"Nieuwegein";64554;"15-02-2023";"28-02-2023";23;35,6;4;6,2
"Nieuwkoop";29304;"15-02-2023";"28-02-2023";11;37,5;2;6,8
"Nijkerk";44311;"15-02-2023";"28-02-2023";14;31,6;1;2,3
"Nijmegen";179100;"15-02-2023";"28-02-2023";159;88,8;26;14,5
"Nissewaard";86332;"15-02-2023";"28-02-2023";22;25,5;7;8,1
"Noardeast-Fryslân";45593;"15-02-2023";"28-02-2023";2;4,4;1;2,2
"Noord-Beveland";7668;"15-02-2023";"28-02-2023";2;26,1;1;13
"Noordenveld";31238;"15-02-2023";"28-02-2023";7;22,4;2;6,4
"Noordoostpolder";48048;"15-02-2023";"28-02-2023";24;50;5;10,4
"Noordwijk";44365;"15-02-2023";"28-02-2023";16;36,1;0;0
"Nuenen, Gerwen en Nederwetten";23826;"15-02-2023";"28-02-2023";14;58,8;2;8,4
"Nunspeet";28223;"15-02-2023";"28-02-2023";5;17,7;1;3,5
"Oegstgeest";25499;"15-02-2023";"28-02-2023";9;35,3;0;0
"Oirschot";19061;"15-02-2023";"28-02-2023";7;36,7;1;5,2
"Oisterwijk";32503;"15-02-2023";"28-02-2023";22;67,7;6;18,5
"Oldambt";38521;"15-02-2023";"28-02-2023";11;28,6;0;0
"Oldebroek";23930;"15-02-2023";"28-02-2023";15;62,7;1;4,2
"Oldenzaal";31741;"15-02-2023";"28-02-2023";11;34,7;1;3,2
"Olst-Wijhe";18496;"15-02-2023";"28-02-2023";4;21,6;2;10,8
"Ommen";18457;"15-02-2023";"28-02-2023";19;102,9;3;16,3
"Oost Gelre";29603;"15-02-2023";"28-02-2023";6;20,3;1;3,4
"Oosterhout";56535;"15-02-2023";"28-02-2023";38;67,2;8;14,2
"Ooststellingwerf";25680;"15-02-2023";"28-02-2023";4;15,6;1;3,9
"Oostzaan";9639;"15-02-2023";"28-02-2023";2;20,7;0;0
"Opmeer";12074;"15-02-2023";"28-02-2023";2;16,6;0;0
"Opsterland";29791;"15-02-2023";"28-02-2023";3;10,1;0;0
"Oss";93307;"15-02-2023";"28-02-2023";43;46,1;9;9,6
"Oude IJsselstreek";39387;"15-02-2023";"28-02-2023";26;66;7;17,8
"Ouder-Amstel";14212;"15-02-2023";"28-02-2023";3;21,1;1;7
"Oudewater";10159;"15-02-2023";"28-02-2023";5;49,2;1;9,8
"Overbetuwe";48266;"15-02-2023";"28-02-2023";33;68,4;7;14,5
"Papendrecht";32208;"15-02-2023";"28-02-2023";16;49,7;1;3,1
"Peel en Maas";44278;"15-02-2023";"28-02-2023";28;63,2;3;6,8
"Pekela";12196;"15-02-2023";"28-02-2023";7;57,4;1;8,2
"Pijnacker-Nootdorp";56572;"15-02-2023";"28-02-2023";17;30,1;1;1,8
"Purmerend";92240;"15-02-2023";"28-02-2023";43;46,6;2;2,2
"Putten";24598;"15-02-2023";"28-02-2023";11;44,7;2;8,1
"Raalte";38140;"15-02-2023";"28-02-2023";11;28,8;2;5,2
"Reimerswaal";22920;"15-02-2023";"28-02-2023";4;17,5;1;4,4
"Renkum";31358;"15-02-2023";"28-02-2023";9;28,7;0;0
"Renswoude";5651;"15-02-2023";"28-02-2023";5;88,5;0;0
"Reusel-De Mierden";13271;"15-02-2023";"28-02-2023";0;0;0;0
"Rheden";43435;"15-02-2023";"28-02-2023";72;165,8;4;9,2
"Rhenen";20265;"15-02-2023";"28-02-2023";5;24,7;0;0
"Ridderkerk";47099;"15-02-2023";"28-02-2023";10;21,2;5;10,6
"Rijssen-Holten";38231;"15-02-2023";"28-02-2023";14;36,6;5;13,1
"Rijswijk";56941;"15-02-2023";"28-02-2023";20;35,1;3;5,3
"Roerdalen";20558;"15-02-2023";"28-02-2023";12;58,4;0;0
"Roermond";59184;"15-02-2023";"28-02-2023";28;47,3;0;0
"Roosendaal";77244;"15-02-2023";"28-02-2023";36;46,6;6;7,8
"Rotterdam";655468;"15-02-2023";"28-02-2023";190;29;41;6,3
"Rozendaal";1756;"15-02-2023";"28-02-2023";3;170,8;0;0
"Rucphen";23326;"15-02-2023";"28-02-2023";0;0;2;8,6
"Schagen";46833;"15-02-2023";"28-02-2023";18;38,4;4;8,5
"Scherpenzeel";10317;"15-02-2023";"28-02-2023";3;29,1;0;0
"Schiedam";79644;"15-02-2023";"28-02-2023";21;26,4;4;5
"Schiermonnikoog";944;"15-02-2023";"28-02-2023";0;0;0;0
"Schouwen-Duiveland";34152;"15-02-2023";"28-02-2023";11;32,2;0;0
"Simpelveld";10425;"15-02-2023";"28-02-2023";1;9,6;0;0
"Sint-Michielsgestel";29731;"15-02-2023";"28-02-2023";15;50,5;3;10,1
"Sittard-Geleen";91719;"15-02-2023";"28-02-2023";68;74,1;11;12
"Sliedrecht";25897;"15-02-2023";"28-02-2023";10;38,6;0;0
"Sluis";23141;"15-02-2023";"28-02-2023";12;51,9;1;4,3
"Smallingerland";55895;"15-02-2023";"28-02-2023";6;10,7;0;0
"Soest";47113;"15-02-2023";"28-02-2023";9;19,1;0;0
"Someren";19701;"15-02-2023";"28-02-2023";6;30,5;3;15,2
"Son en Breugel";17775;"15-02-2023";"28-02-2023";11;61,9;1;5,6
"Stadskanaal";31851;"15-02-2023";"28-02-2023";12;37,7;0;0
"Staphorst";17282;"15-02-2023";"28-02-2023";3;17,4;0;0
"Stede Broec";21947;"15-02-2023";"28-02-2023";4;18,2;0;0
"Steenbergen";24333;"15-02-2023";"28-02-2023";12;49,3;4;16,4
"Steenwijkerland";44741;"15-02-2023";"28-02-2023";12;26,8;1;2,2
"Stein";24803;"15-02-2023";"28-02-2023";21;84,7;2;8,1
"Stichtse Vecht";65240;"15-02-2023";"28-02-2023";30;46;5;7,7
"Súdwest-Fryslân";90300;"15-02-2023";"28-02-2023";12;13,3;3;3,3
"Terneuzen";54501;"15-02-2023";"28-02-2023";25;45,9;7;12,8
"Terschelling";4960;"15-02-2023";"28-02-2023";0;0;0;0
"Texel";13687;"15-02-2023";"28-02-2023";2;14,6;1;7,3
"Teylingen";37942;"15-02-2023";"28-02-2023";10;26,4;1;2,6
"Tholen";26401;"15-02-2023";"28-02-2023";4;15,2;0;0
"Tiel";42277;"15-02-2023";"28-02-2023";24;56,8;4;9,5
"Tilburg";224459;"15-02-2023";"28-02-2023";145;64,6;14;6,2
"Tubbergen";21364;"15-02-2023";"28-02-2023";17;79,6;3;14
"Twenterand";33718;"15-02-2023";"28-02-2023";10;29,7;3;8,9
"Tynaarlo";34221;"15-02-2023";"28-02-2023";8;23,4;2;5,8
"Tytsjerksteradiel";32282;"15-02-2023";"28-02-2023";5;15,5;0;0
"Uitgeest";13563;"15-02-2023";"28-02-2023";4;29,5;0;0
"Uithoorn";31018;"15-02-2023";"28-02-2023";3;9,7;0;0
"Urk";21468;"15-02-2023";"28-02-2023";1;4,7;0;0
"Utrecht";361699;"15-02-2023";"28-02-2023";174;48,1;22;6,1
"Utrechtse Heuvelrug";49981;"15-02-2023";"28-02-2023";11;22;3;6
"Vaals";10135;"15-02-2023";"28-02-2023";1;9,9;0;0
"Valkenburg aan de Geul";16167;"15-02-2023";"28-02-2023";10;61,9;1;6,2
"Valkenswaard";31236;"15-02-2023";"28-02-2023";22;70,4;1;3,2
"Veendam";27466;"15-02-2023";"28-02-2023";6;21,8;0;0
"Veenendaal";67671;"15-02-2023";"28-02-2023";30;44,3;1;1,5
"Veere";21850;"15-02-2023";"28-02-2023";2;9,2;0;0
"Veldhoven";45822;"15-02-2023";"28-02-2023";25;54,6;7;15,3
"Velsen";68482;"15-02-2023";"28-02-2023";31;45,3;2;2,9
"Venlo";102136;"15-02-2023";"28-02-2023";96;94;2;2
"Venray";43964;"15-02-2023";"28-02-2023";39;88,7;1;2,3
"Vijfheerenlanden";58788;"15-02-2023";"28-02-2023";10;17;2;3,4
"Vlaardingen";74143;"15-02-2023";"28-02-2023";17;22,9;5;6,7
"Vlieland";1195;"15-02-2023";"28-02-2023";1;83,7;0;0
"Vlissingen";44585;"15-02-2023";"28-02-2023";16;35,9;3;6,7
"Voerendaal";12426;"15-02-2023";"28-02-2023";9;72,4;0;0
"Voorne aan Zee";73238;"15-02-2023";"28-02-2023";18;24,6;7;9,6
"Voorschoten";25627;"15-02-2023";"28-02-2023";16;62,4;0;0
"Voorst";24994;"15-02-2023";"28-02-2023";40;160;2;8
"Vught";31783;"15-02-2023";"28-02-2023";18;56,6;3;9,4
"Waadhoeke";46309;"15-02-2023";"28-02-2023";7;15,1;3;6,5
"Waalre";17626;"15-02-2023";"28-02-2023";28;158,9;1;5,7
"Waalwijk";49342;"15-02-2023";"28-02-2023";18;36,5;2;4,1
"Waddinxveen";31342;"15-02-2023";"28-02-2023";11;35,1;2;6,4
"Wageningen";39939;"15-02-2023";"28-02-2023";39;97,6;2;5
"Wassenaar";27115;"15-02-2023";"28-02-2023";12;44,3;1;3,7
"Waterland";17343;"15-02-2023";"28-02-2023";1;5,8;0;0
"Weert";50346;"15-02-2023";"28-02-2023";39;77,5;1;2
"West Betuwe";51971;"15-02-2023";"28-02-2023";16;30,8;0;0
"West Maas en Waal";19675;"15-02-2023";"28-02-2023";8;40,7;2;10,2
"Westerkwartier";64306;"15-02-2023";"28-02-2023";12;18,7;3;4,7
"Westerveld";19854;"15-02-2023";"28-02-2023";4;20,1;0;0
"Westervoort";14944;"15-02-2023";"28-02-2023";9;60,2;1;6,7
"Westerwolde";26571;"15-02-2023";"28-02-2023";6;22,6;0;0
"Westland";112448;"15-02-2023";"28-02-2023";55;48,9;3;2,7
"Weststellingwerf";26278;"15-02-2023";"28-02-2023";7;26,6;0;0
"Wierden";24643;"15-02-2023";"28-02-2023";7;28,4;1;4,1
"Wijchen";41344;"15-02-2023";"28-02-2023";23;55,6;3;7,3
"Wijdemeren";24494;"15-02-2023";"28-02-2023";5;20,4;0;0
"Wijk bij Duurstede";23921;"15-02-2023";"28-02-2023";5;20,9;1;4,2
"Winterswijk";29185;"15-02-2023";"28-02-2023";10;34,3;1;3,4
"Woensdrecht";22112;"15-02-2023";"28-02-2023";4;18,1;3;13,6
"Woerden";52882;"15-02-2023";"28-02-2023";20;37,8;3;5,7
"Wormerland";16381;"15-02-2023";"28-02-2023";2;12,2;0;0
"Woudenberg";13873;"15-02-2023";"28-02-2023";3;21,6;0;0
"Zaanstad";157166;"15-02-2023";"28-02-2023";55;35;2;1,3
"Zaltbommel";29957;"15-02-2023";"28-02-2023";6;20;4;13,4
"Zandvoort";17107;"15-02-2023";"28-02-2023";6;35,1;1;5,8
"Zeewolde";23348;"15-02-2023";"28-02-2023";7;30;2;8,6
"Zeist";65987;"15-02-2023";"28-02-2023";19;28,8;2;3
"Zevenaar";44645;"15-02-2023";"28-02-2023";37;82,9;2;4,5
"Zoetermeer";125767;"15-02-2023";"28-02-2023";31;24,6;1;0,8
"Zoeterwoude";9302;"15-02-2023";"28-02-2023";3;32,3;0;0
"Zuidplas";45794;"15-02-2023";"28-02-2023";18;39,3;4;8,7
"Zundert";22260;"15-02-2023";"28-02-2023";7;31,4;1;4,5
"Zutphen";48330;"15-02-2023";"28-02-2023";13;26,9;4;8,3
"Zwartewaterland";23012;"15-02-2023";"28-02-2023";9;39,1;1;4,3
"Zwijndrecht";44789;"15-02-2023";"28-02-2023";27;60,3;1;2,2
"Zwolle";130668;"15-02-2023";"28-02-2023";59;45,2;6;4,6
