"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000"
"Coevorden";35517;"29-03-2023";"11-04-2023";3;8,4
"Cranendonck";20669;"29-03-2023";"11-04-2023";0;0
"Culemborg";29397;"29-03-2023";"11-04-2023";1;3,4
"Dalfsen";29162;"29-03-2023";"11-04-2023";2;6,9
"Dantumadiel";18957;"29-03-2023";"11-04-2023";1;5,3
"De Bilt";43508;"29-03-2023";"11-04-2023";1;2,3
"De Fryske Marren";51597;"29-03-2023";"11-04-2023";1;1,9
"De Ronde Venen";44955;"29-03-2023";"11-04-2023";0;0
"De Wolden";24511;"29-03-2023";"11-04-2023";1;4,1
"Delft";104572;"29-03-2023";"11-04-2023";9;8,6
"Den Helder";56334;"29-03-2023";"11-04-2023";2;3,6
"Deurne";32606;"29-03-2023";"11-04-2023";1;3,1
"Deventer";101446;"29-03-2023";"11-04-2023";5;4,9
"Diemen";31822;"29-03-2023";"11-04-2023";1;3,1
"Dijk en Waard";87695;"29-03-2023";"11-04-2023";3;3,4
"Dinkelland";26594;"29-03-2023";"11-04-2023";0;0
"Doesburg";11036;"29-03-2023";"11-04-2023";1;9,1
"Doetinchem";58546;"29-03-2023";"11-04-2023";5;8,5
"Dongen";26483;"29-03-2023";"11-04-2023";1;3,8
"Dordrecht";119537;"29-03-2023";"11-04-2023";2;1,7
"Drechterland";19983;"29-03-2023";"11-04-2023";1;5
"Drimmelen";27476;"29-03-2023";"11-04-2023";1;3,6
"Dronten";42865;"29-03-2023";"11-04-2023";1;2,3
"Druten";19178;"29-03-2023";"11-04-2023";0;0
"Duiven";24946;"29-03-2023";"11-04-2023";0;0
"Echt-Susteren";31731;"29-03-2023";"11-04-2023";2;6,3
"Edam-Volendam";36471;"29-03-2023";"11-04-2023";2;5,5
"Ede";119986;"29-03-2023";"11-04-2023";0;0
"Eemnes";9450;"29-03-2023";"11-04-2023";0;0
"Eemsdelta";45389;"29-03-2023";"11-04-2023";0;0
"Eersel";19823;"29-03-2023";"11-04-2023";1;5
"Eijsden-Margraten";25857;"29-03-2023";"11-04-2023";0;0
"Eindhoven";238326;"29-03-2023";"11-04-2023";3;1,3
"Elburg";23740;"29-03-2023";"11-04-2023";1;4,2
"Emmen";107856;"29-03-2023";"11-04-2023";5;4,6
"Enkhuizen";18620;"29-03-2023";"11-04-2023";2;10,7
"Enschede";160640;"29-03-2023";"11-04-2023";13;8,1
"Epe";33257;"29-03-2023";"11-04-2023";5;15
"Ermelo";27258;"29-03-2023";"11-04-2023";2;7,3
"Etten-Leur";44152;"29-03-2023";"11-04-2023";1;2,3
"Geertruidenberg";21944;"29-03-2023";"11-04-2023";0;0
"Geldrop-Mierlo";40131;"29-03-2023";"11-04-2023";1;2,5
"Gemert-Bakel";31040;"29-03-2023";"11-04-2023";4;12,9
"Gennep";17237;"29-03-2023";"11-04-2023";0;0
"Gilze en Rijen";26557;"29-03-2023";"11-04-2023";0;0
"Goeree-Overflakkee";51051;"29-03-2023";"11-04-2023";5;9,8
"Goes";38950;"29-03-2023";"11-04-2023";1;2,6
"Goirle";23979;"29-03-2023";"11-04-2023";0;0
"Gooise Meren";58846;"29-03-2023";"11-04-2023";0;0
"Gorinchem";37632;"29-03-2023";"11-04-2023";0;0
"Gouda";74095;"29-03-2023";"11-04-2023";7;9,4
"Groningen";234950;"29-03-2023";"11-04-2023";4;1,7
"Gulpen-Wittem";14178;"29-03-2023";"11-04-2023";1;7,1
"Haaksbergen";24268;"29-03-2023";"11-04-2023";2;8,2
"Haarlem";162898;"29-03-2023";"11-04-2023";4;2,5
"Haarlemmermeer";159336;"29-03-2023";"11-04-2023";3;1,9
"Halderberge";30770;"29-03-2023";"11-04-2023";3;9,7
"Hardenberg";61798;"29-03-2023";"11-04-2023";3;4,9
"Harderwijk";48857;"29-03-2023";"11-04-2023";1;2
"Hardinxveld-Giessendam";18511;"29-03-2023";"11-04-2023";0;0
"Harlingen";15904;"29-03-2023";"11-04-2023";0;0
"Hattem";12307;"29-03-2023";"11-04-2023";2;16,3
"Heemskerk";39189;"29-03-2023";"11-04-2023";0;0
"Heemstede";27557;"29-03-2023";"11-04-2023";0;0
"Heerde";18976;"29-03-2023";"11-04-2023";0;0
"Heerenveen";51119;"29-03-2023";"11-04-2023";0;0
"Heerlen";86845;"29-03-2023";"11-04-2023";5;5,8
"Heeze-Leende";16470;"29-03-2023";"11-04-2023";0;0
"Heiloo";24417;"29-03-2023";"11-04-2023";4;16,4
"Hellendoorn";35940;"29-03-2023";"11-04-2023";1;2,8
"Helmond";93476;"29-03-2023";"11-04-2023";10;10,7
"Hendrik-Ido-Ambacht";31663;"29-03-2023";"11-04-2023";0;0
"Hengelo";81476;"29-03-2023";"11-04-2023";1;1,2
"Het Hogeland";48022;"29-03-2023";"11-04-2023";3;6,2
"Heumen";17175;"29-03-2023";"11-04-2023";0;0
"Heusden";45557;"29-03-2023";"11-04-2023";1;2,2
"Hillegom";22312;"29-03-2023";"11-04-2023";0;0
"Hilvarenbeek";15810;"29-03-2023";"11-04-2023";0;0
"Hilversum";91733;"29-03-2023";"11-04-2023";0;0
"Hoeksche Waard";88715;"29-03-2023";"11-04-2023";3;3,4
"Hof van Twente";35056;"29-03-2023";"11-04-2023";0;0
"Hollands Kroon";48778;"29-03-2023";"11-04-2023";3;6,2
"Hoogeveen";55857;"29-03-2023";"11-04-2023";3;5,4
"Hoorn";74298;"29-03-2023";"11-04-2023";7;9,4
"Horst aan de Maas";43039;"29-03-2023";"11-04-2023";0;0
"Houten";50323;"29-03-2023";"11-04-2023";4;7,9
"Huizen";40938;"29-03-2023";"11-04-2023";0;0
"Hulst";27533;"29-03-2023";"11-04-2023";0;0
"IJsselstein";33429;"29-03-2023";"11-04-2023";2;6
"Kaag en Braassem";27895;"29-03-2023";"11-04-2023";0;0
"Kampen";54791;"29-03-2023";"11-04-2023";2;3,7
"Kapelle";13020;"29-03-2023";"11-04-2023";0;0
"Katwijk";66032;"29-03-2023";"11-04-2023";1;1,5
"Kerkrade";45324;"29-03-2023";"11-04-2023";1;2,2
"Koggenland";23048;"29-03-2023";"11-04-2023";0;0
"Krimpen aan den IJssel";29415;"29-03-2023";"11-04-2023";2;6,8
"Krimpenerwaard";57062;"29-03-2023";"11-04-2023";3;5,3
"Laarbeek";22943;"29-03-2023";"11-04-2023";3;13,1
"Land van Cuijk";90707;"29-03-2023";"11-04-2023";0;0
"Landgraaf";37023;"29-03-2023";"11-04-2023";1;2,7
"Landsmeer";11560;"29-03-2023";"11-04-2023";1;8,7
"Lansingerland";64110;"29-03-2023";"11-04-2023";1;1,6
"Laren";11528;"29-03-2023";"11-04-2023";0;0
"Leeuwarden";125504;"29-03-2023";"11-04-2023";0;0
"Leiden";125074;"29-03-2023";"11-04-2023";4;3,2
"Leiderdorp";27464;"29-03-2023";"11-04-2023";2;7,3
"Leidschendam-Voorburg";76659;"29-03-2023";"11-04-2023";1;1,3
"Lelystad";81214;"29-03-2023";"11-04-2023";7;8,6
"Leudal";35928;"29-03-2023";"11-04-2023";0;0
"Leusden";30713;"29-03-2023";"11-04-2023";1;3,3
"Lingewaard";46963;"29-03-2023";"11-04-2023";1;2,1
"Lisse";23015;"29-03-2023";"11-04-2023";0;0
"Lochem";34069;"29-03-2023";"11-04-2023";3;8,8
"Loon op Zand";23768;"29-03-2023";"11-04-2023";0;0
"Lopik";14512;"29-03-2023";"11-04-2023";0;0
"Losser";23084;"29-03-2023";"11-04-2023";2;8,7
"Maasdriel";25504;"29-03-2023";"11-04-2023";0;0
"Maasgouw";24028;"29-03-2023";"11-04-2023";0;0
"Maashorst";58362;"29-03-2023";"11-04-2023";2;3,4
"Maassluis";34148;"29-03-2023";"11-04-2023";2;5,9
"Maastricht";121151;"29-03-2023";"11-04-2023";0;0
"Medemblik";45464;"29-03-2023";"11-04-2023";1;2,2
"Meerssen";18581;"29-03-2023";"11-04-2023";0;0
"Meierijstad";82613;"29-03-2023";"11-04-2023";3;3,6
"Meppel";34761;"29-03-2023";"11-04-2023";2;5,8
"Middelburg";49199;"29-03-2023";"11-04-2023";4;8,1
"Midden-Delfland";19484;"29-03-2023";"11-04-2023";1;5,1
"Midden-Drenthe";33689;"29-03-2023";"11-04-2023";0;0
"Midden-Groningen";60898;"29-03-2023";"11-04-2023";3;4,9
"Moerdijk";37313;"29-03-2023";"11-04-2023";1;2,7
"Molenlanden";44644;"29-03-2023";"11-04-2023";0;0
"Montferland";36359;"29-03-2023";"11-04-2023";0;0
"Montfoort";13818;"29-03-2023";"11-04-2023";0;0
"Mook en Middelaar";7989;"29-03-2023";"11-04-2023";0;0
"Neder-Betuwe";25032;"29-03-2023";"11-04-2023";1;4
"Nederweert";17323;"29-03-2023";"11-04-2023";0;0
"Nieuwegein";64554;"29-03-2023";"11-04-2023";1;1,5
"Nieuwkoop";29304;"29-03-2023";"11-04-2023";1;3,4
"Nijkerk";44311;"29-03-2023";"11-04-2023";0;0
"Nijmegen";179100;"29-03-2023";"11-04-2023";10;5,6
"Nissewaard";86332;"29-03-2023";"11-04-2023";4;4,6
"Noardeast-Fryslân";45593;"29-03-2023";"11-04-2023";0;0
"Noord-Beveland";7668;"29-03-2023";"11-04-2023";0;0
"Noordenveld";31238;"29-03-2023";"11-04-2023";1;3,2
"Noordoostpolder";48048;"29-03-2023";"11-04-2023";0;0
"Noordwijk";44365;"29-03-2023";"11-04-2023";1;2,3
"Nuenen, Gerwen en Nederwetten";23826;"29-03-2023";"11-04-2023";2;8,4
"Nunspeet";28223;"29-03-2023";"11-04-2023";2;7,1
"Oegstgeest";25499;"29-03-2023";"11-04-2023";1;3,9
"Oirschot";19061;"29-03-2023";"11-04-2023";0;0
"Oisterwijk";32503;"29-03-2023";"11-04-2023";2;6,2
"Oldambt";38521;"29-03-2023";"11-04-2023";0;0
"Oldebroek";23930;"29-03-2023";"11-04-2023";2;8,4
"Oldenzaal";31741;"29-03-2023";"11-04-2023";1;3,2
"Olst-Wijhe";18496;"29-03-2023";"11-04-2023";3;16,2
"Ommen";18457;"29-03-2023";"11-04-2023";2;10,8
"Oost Gelre";29603;"29-03-2023";"11-04-2023";0;0
"Oosterhout";56535;"29-03-2023";"11-04-2023";1;1,8
"Ooststellingwerf";25680;"29-03-2023";"11-04-2023";0;0
"Oostzaan";9639;"29-03-2023";"11-04-2023";0;0
"Opmeer";12074;"29-03-2023";"11-04-2023";0;0
"Opsterland";29791;"29-03-2023";"11-04-2023";0;0
"Oss";93307;"29-03-2023";"11-04-2023";4;4,3
"Oude IJsselstreek";39387;"29-03-2023";"11-04-2023";3;7,6
"Ouder-Amstel";14212;"29-03-2023";"11-04-2023";0;0
"Oudewater";10159;"29-03-2023";"11-04-2023";0;0
"Overbetuwe";48266;"29-03-2023";"11-04-2023";2;4,1
"Papendrecht";32208;"29-03-2023";"11-04-2023";0;0
"Peel en Maas";44278;"29-03-2023";"11-04-2023";0;0
"Pekela";12196;"29-03-2023";"11-04-2023";1;8,2
"Pijnacker-Nootdorp";56572;"29-03-2023";"11-04-2023";6;10,6
"Purmerend";92240;"29-03-2023";"11-04-2023";4;4,3
"Putten";24598;"29-03-2023";"11-04-2023";0;0
"Raalte";38140;"29-03-2023";"11-04-2023";3;7,9
"Reimerswaal";22920;"29-03-2023";"11-04-2023";0;0
"Renkum";31358;"29-03-2023";"11-04-2023";0;0
"Renswoude";5651;"29-03-2023";"11-04-2023";0;0
"Reusel-De Mierden";13271;"29-03-2023";"11-04-2023";0;0
"Rheden";43435;"29-03-2023";"11-04-2023";1;2,3
"Rhenen";20265;"29-03-2023";"11-04-2023";2;9,9
"Ridderkerk";47099;"29-03-2023";"11-04-2023";0;0
"Rijssen-Holten";38231;"29-03-2023";"11-04-2023";1;2,6
"Rijswijk";56941;"29-03-2023";"11-04-2023";0;0
"Roerdalen";20558;"29-03-2023";"11-04-2023";0;0
"Roermond";59184;"29-03-2023";"11-04-2023";0;0
"Roosendaal";77244;"29-03-2023";"11-04-2023";4;5,2
"Rotterdam";655468;"29-03-2023";"11-04-2023";20;3,1
"Rozendaal";1756;"29-03-2023";"11-04-2023";0;0
"Rucphen";23326;"29-03-2023";"11-04-2023";1;4,3
"Schagen";46833;"29-03-2023";"11-04-2023";1;2,1
"Scherpenzeel";10317;"29-03-2023";"11-04-2023";0;0
"Schiedam";79644;"29-03-2023";"11-04-2023";7;8,8
"Schiermonnikoog";944;"29-03-2023";"11-04-2023";0;0
"Schouwen-Duiveland";34152;"29-03-2023";"11-04-2023";1;2,9
"Simpelveld";10425;"29-03-2023";"11-04-2023";0;0
"Sint-Michielsgestel";29731;"29-03-2023";"11-04-2023";1;3,4
"Sittard-Geleen";91719;"29-03-2023";"11-04-2023";1;1,1
"Sliedrecht";25897;"29-03-2023";"11-04-2023";0;0
"Sluis";23141;"29-03-2023";"11-04-2023";1;4,3
"Smallingerland";55895;"29-03-2023";"11-04-2023";0;0
"Soest";47113;"29-03-2023";"11-04-2023";0;0
"Someren";19701;"29-03-2023";"11-04-2023";0;0
"Son en Breugel";17775;"29-03-2023";"11-04-2023";0;0
"Stadskanaal";31851;"29-03-2023";"11-04-2023";1;3,1
"Staphorst";17282;"29-03-2023";"11-04-2023";1;5,8
"Stede Broec";21947;"29-03-2023";"11-04-2023";0;0
"Steenbergen";24333;"29-03-2023";"11-04-2023";1;4,1
"Steenwijkerland";44741;"29-03-2023";"11-04-2023";4;8,9
"Stein";24803;"29-03-2023";"11-04-2023";0;0
"Stichtse Vecht";65240;"29-03-2023";"11-04-2023";3;4,6
"Súdwest-Fryslân";90300;"29-03-2023";"11-04-2023";7;7,8
"Terneuzen";54501;"29-03-2023";"11-04-2023";2;3,7
"Terschelling";4960;"29-03-2023";"11-04-2023";0;0
"Texel";13687;"29-03-2023";"11-04-2023";0;0
"Teylingen";37942;"29-03-2023";"11-04-2023";2;5,3
"Tholen";26401;"29-03-2023";"11-04-2023";0;0
"Tiel";42277;"29-03-2023";"11-04-2023";6;14,2
"Tilburg";224459;"29-03-2023";"11-04-2023";2;0,9
"Tubbergen";21364;"29-03-2023";"11-04-2023";0;0
"Twenterand";33718;"29-03-2023";"11-04-2023";0;0
"Tynaarlo";34221;"29-03-2023";"11-04-2023";0;0
"Tytsjerksteradiel";32282;"29-03-2023";"11-04-2023";0;0
"Uitgeest";13563;"29-03-2023";"11-04-2023";0;0
"Uithoorn";31018;"29-03-2023";"11-04-2023";0;0
"Urk";21468;"29-03-2023";"11-04-2023";0;0
"Utrecht";361699;"29-03-2023";"11-04-2023";9;2,5
"Utrechtse Heuvelrug";49981;"29-03-2023";"11-04-2023";4;8
"Vaals";10135;"29-03-2023";"11-04-2023";0;0
"Valkenburg aan de Geul";16167;"29-03-2023";"11-04-2023";0;0
"Valkenswaard";31236;"29-03-2023";"11-04-2023";1;3,2
"Veendam";27466;"29-03-2023";"11-04-2023";0;0
"Veenendaal";67671;"29-03-2023";"11-04-2023";0;0
"Veere";21850;"29-03-2023";"11-04-2023";1;4,6
"Veldhoven";45822;"29-03-2023";"11-04-2023";2;4,4
"Velsen";68482;"29-03-2023";"11-04-2023";2;2,9
"Venlo";102136;"29-03-2023";"11-04-2023";0;0
"Venray";43964;"29-03-2023";"11-04-2023";0;0
"Vijfheerenlanden";58788;"29-03-2023";"11-04-2023";3;5,1
"Vlaardingen";74143;"29-03-2023";"11-04-2023";2;2,7
"Vlieland";1195;"29-03-2023";"11-04-2023";0;0
"Vlissingen";44585;"29-03-2023";"11-04-2023";3;6,7
"Voerendaal";12426;"29-03-2023";"11-04-2023";3;24,1
"Voorne aan Zee";73238;"29-03-2023";"11-04-2023";5;6,8
"Voorschoten";25627;"29-03-2023";"11-04-2023";1;3,9
"Voorst";24994;"29-03-2023";"11-04-2023";0;0
"Vught";31783;"29-03-2023";"11-04-2023";1;3,1
"Waadhoeke";46309;"29-03-2023";"11-04-2023";0;0
"Waalre";17626;"29-03-2023";"11-04-2023";1;5,7
"Waalwijk";49342;"29-03-2023";"11-04-2023";2;4,1
"Waddinxveen";31342;"29-03-2023";"11-04-2023";0;0
"Wageningen";39939;"29-03-2023";"11-04-2023";0;0
"Wassenaar";27115;"29-03-2023";"11-04-2023";1;3,7
"Waterland";17343;"29-03-2023";"11-04-2023";1;5,8
"Weert";50346;"29-03-2023";"11-04-2023";0;0
"West Betuwe";51971;"29-03-2023";"11-04-2023";3;5,8
"West Maas en Waal";19675;"29-03-2023";"11-04-2023";0;0
"Westerkwartier";64306;"29-03-2023";"11-04-2023";3;4,7
"Westerveld";19854;"29-03-2023";"11-04-2023";0;0
"Westervoort";14944;"29-03-2023";"11-04-2023";0;0
"Westerwolde";26571;"29-03-2023";"11-04-2023";2;7,5
"Westland";112448;"29-03-2023";"11-04-2023";15;13,3
"Weststellingwerf";26278;"29-03-2023";"11-04-2023";0;0
"Wierden";24643;"29-03-2023";"11-04-2023";0;0
"Wijchen";41344;"29-03-2023";"11-04-2023";1;2,4
"Wijdemeren";24494;"29-03-2023";"11-04-2023";0;0
"Wijk bij Duurstede";23921;"29-03-2023";"11-04-2023";1;4,2
"Winterswijk";29185;"29-03-2023";"11-04-2023";1;3,4
"Woensdrecht";22112;"29-03-2023";"11-04-2023";0;0
"Woerden";52882;"29-03-2023";"11-04-2023";0;0
"Wormerland";16381;"29-03-2023";"11-04-2023";0;0
"Woudenberg";13873;"29-03-2023";"11-04-2023";0;0
"Zaanstad";157166;"29-03-2023";"11-04-2023";4;2,5
"Zaltbommel";29957;"29-03-2023";"11-04-2023";0;0
"Zandvoort";17107;"29-03-2023";"11-04-2023";1;5,8
"Zeewolde";23348;"29-03-2023";"11-04-2023";3;12,8
"Zeist";65987;"29-03-2023";"11-04-2023";4;6,1
"Zevenaar";44645;"29-03-2023";"11-04-2023";0;0
"Zoetermeer";125767;"29-03-2023";"11-04-2023";4;3,2
"Zoeterwoude";9302;"29-03-2023";"11-04-2023";1;10,8
"Zuidplas";45794;"29-03-2023";"11-04-2023";5;10,9
"Zundert";22260;"29-03-2023";"11-04-2023";2;9
"Zutphen";48330;"29-03-2023";"11-04-2023";2;4,1
"Zwartewaterland";23012;"29-03-2023";"11-04-2023";2;8,7
"Zwijndrecht";44789;"29-03-2023";"11-04-2023";0;0
"Zwolle";130668;"29-03-2023";"11-04-2023";4;3,1
