"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000"
"Halderberge";30770;"22-02-2023";"07-03-2023";14;45,5;4;13
"Hardenberg";61798;"22-02-2023";"07-03-2023";34;55;5;8,1
"Harderwijk";48857;"22-02-2023";"07-03-2023";19;38,9;1;2
"Hardinxveld-Giessendam";18511;"22-02-2023";"07-03-2023";6;32,4;0;0
"Harlingen";15904;"22-02-2023";"07-03-2023";1;6,3;0;0
"Hattem";12307;"22-02-2023";"07-03-2023";3;24,4;1;8,1
"Heemskerk";39189;"22-02-2023";"07-03-2023";7;17,9;0;0
"Heemstede";27557;"22-02-2023";"07-03-2023";12;43,5;0;0
"Heerde";18976;"22-02-2023";"07-03-2023";10;52,7;2;10,5
"Heerenveen";51119;"22-02-2023";"07-03-2023";19;37,2;2;3,9
"Heerlen";86845;"22-02-2023";"07-03-2023";54;62,2;6;6,9
"Heeze-Leende";16470;"22-02-2023";"07-03-2023";22;133,6;6;36,4
"Heiloo";24417;"22-02-2023";"07-03-2023";5;20,5;1;4,1
"Hellendoorn";35940;"22-02-2023";"07-03-2023";17;47,3;2;5,6
"Helmond";93476;"22-02-2023";"07-03-2023";31;33,2;11;11,8
"Hendrik-Ido-Ambacht";31663;"22-02-2023";"07-03-2023";8;25,3;2;6,3
"Hengelo";81476;"22-02-2023";"07-03-2023";26;31,9;6;7,4
"Het Hogeland";48022;"22-02-2023";"07-03-2023";15;31,2;5;10,4
"Heumen";17175;"22-02-2023";"07-03-2023";13;75,7;1;5,8
"Heusden";45557;"22-02-2023";"07-03-2023";30;65,9;9;19,8
"Hillegom";22312;"22-02-2023";"07-03-2023";10;44,8;2;9
"Hilvarenbeek";15810;"22-02-2023";"07-03-2023";10;63,3;0;0
"Hilversum";91733;"22-02-2023";"07-03-2023";17;18,5;0;0
"Hoeksche Waard";88715;"22-02-2023";"07-03-2023";30;33,8;5;5,6
"Hof van Twente";35056;"22-02-2023";"07-03-2023";6;17,1;2;5,7
"Hollands Kroon";48778;"22-02-2023";"07-03-2023";12;24,6;1;2,1
"Hoogeveen";55857;"22-02-2023";"07-03-2023";14;25,1;2;3,6
"Hoorn";74298;"22-02-2023";"07-03-2023";17;22,9;5;6,7
"Horst aan de Maas";43039;"22-02-2023";"07-03-2023";20;46,5;0;0
"Houten";50323;"22-02-2023";"07-03-2023";25;49,7;8;15,9
"Huizen";40938;"22-02-2023";"07-03-2023";6;14,7;0;0
"Hulst";27533;"22-02-2023";"07-03-2023";39;141,6;5;18,2
"IJsselstein";33429;"22-02-2023";"07-03-2023";16;47,9;2;6
"Kaag en Braassem";27895;"22-02-2023";"07-03-2023";7;25,1;0;0
"Kampen";54791;"22-02-2023";"07-03-2023";25;45,6;7;12,8
"Kapelle";13020;"22-02-2023";"07-03-2023";13;99,8;0;0
"Katwijk";66032;"22-02-2023";"07-03-2023";12;18,2;3;4,5
"Kerkrade";45324;"22-02-2023";"07-03-2023";29;64;8;17,7
"Koggenland";23048;"22-02-2023";"07-03-2023";3;13;0;0
"Krimpen aan den IJssel";29415;"22-02-2023";"07-03-2023";9;30,6;2;6,8
"Krimpenerwaard";57062;"22-02-2023";"07-03-2023";9;15,8;4;7
"Laarbeek";22943;"22-02-2023";"07-03-2023";17;74,1;1;4,4
"Land van Cuijk";90707;"22-02-2023";"07-03-2023";67;73,9;10;11
"Landgraaf";37023;"22-02-2023";"07-03-2023";16;43,2;2;5,4
"Landsmeer";11560;"22-02-2023";"07-03-2023";2;17,3;0;0
"Lansingerland";64110;"22-02-2023";"07-03-2023";17;26,5;1;1,6
"Laren";11528;"22-02-2023";"07-03-2023";1;8,7;0;0
"Leeuwarden";125504;"22-02-2023";"07-03-2023";33;26,3;4;3,2
"Leiden";125074;"22-02-2023";"07-03-2023";45;36;4;3,2
"Leiderdorp";27464;"22-02-2023";"07-03-2023";6;21,8;3;10,9
"Leidschendam-Voorburg";76659;"22-02-2023";"07-03-2023";14;18,3;4;5,2
"Lelystad";81214;"22-02-2023";"07-03-2023";27;33,2;2;2,5
"Leudal";35928;"22-02-2023";"07-03-2023";15;41,8;0;0
"Leusden";30713;"22-02-2023";"07-03-2023";21;68,4;1;3,3
"Lingewaard";46963;"22-02-2023";"07-03-2023";21;44,7;5;10,6
"Lisse";23015;"22-02-2023";"07-03-2023";10;43,4;2;8,7
"Lochem";34069;"22-02-2023";"07-03-2023";21;61,6;6;17,6
"Loon op Zand";23768;"22-02-2023";"07-03-2023";22;92,6;2;8,4
"Lopik";14512;"22-02-2023";"07-03-2023";6;41,3;3;20,7
"Losser";23084;"22-02-2023";"07-03-2023";18;78;3;13
"Maasdriel";25504;"22-02-2023";"07-03-2023";15;58,8;4;15,7
"Maasgouw";24028;"22-02-2023";"07-03-2023";26;108,2;0;0
"Maashorst";58362;"22-02-2023";"07-03-2023";28;48;1;1,7
"Maassluis";34148;"22-02-2023";"07-03-2023";4;11,7;1;2,9
"Maastricht";121151;"22-02-2023";"07-03-2023";83;68,5;2;1,7
"Medemblik";45464;"22-02-2023";"07-03-2023";13;28,6;4;8,8
"Meerssen";18581;"22-02-2023";"07-03-2023";13;70;1;5,4
"Meierijstad";82613;"22-02-2023";"07-03-2023";41;49,6;8;9,7
"Meppel";34761;"22-02-2023";"07-03-2023";20;57,5;5;14,4
"Middelburg";49199;"22-02-2023";"07-03-2023";13;26,4;2;4,1
"Midden-Delfland";19484;"22-02-2023";"07-03-2023";2;10,3;0;0
"Midden-Drenthe";33689;"22-02-2023";"07-03-2023";14;41,6;1;3
"Midden-Groningen";60898;"22-02-2023";"07-03-2023";14;23;0;0
"Moerdijk";37313;"22-02-2023";"07-03-2023";23;61,6;6;16,1
"Molenlanden";44644;"22-02-2023";"07-03-2023";7;15,7;0;0
"Montferland";36359;"22-02-2023";"07-03-2023";42;115,5;2;5,5
"Montfoort";13818;"22-02-2023";"07-03-2023";3;21,7;2;14,5
"Mook en Middelaar";7989;"22-02-2023";"07-03-2023";4;50,1;0;0
"Neder-Betuwe";25032;"22-02-2023";"07-03-2023";7;28;1;4
"Nederweert";17323;"22-02-2023";"07-03-2023";9;52;1;5,8
"Nieuwegein";64554;"22-02-2023";"07-03-2023";41;63,5;2;3,1
"Nieuwkoop";29304;"22-02-2023";"07-03-2023";11;37,5;5;17,1
"Nijkerk";44311;"22-02-2023";"07-03-2023";21;47,4;0;0
"Nijmegen";179100;"22-02-2023";"07-03-2023";160;89,3;41;22,9
"Nissewaard";86332;"22-02-2023";"07-03-2023";16;18,5;1;1,2
"Noardeast-Fryslân";45593;"22-02-2023";"07-03-2023";2;4,4;0;0
"Noord-Beveland";7668;"22-02-2023";"07-03-2023";3;39,1;0;0
"Noordenveld";31238;"22-02-2023";"07-03-2023";5;16;3;9,6
"Noordoostpolder";48048;"22-02-2023";"07-03-2023";20;41,6;8;16,7
"Noordwijk";44365;"22-02-2023";"07-03-2023";11;24,8;3;6,8
"Nuenen, Gerwen en Nederwetten";23826;"22-02-2023";"07-03-2023";14;58,8;1;4,2
"Nunspeet";28223;"22-02-2023";"07-03-2023";4;14,2;2;7,1
"Oegstgeest";25499;"22-02-2023";"07-03-2023";11;43,1;3;11,8
"Oirschot";19061;"22-02-2023";"07-03-2023";12;63;0;0
"Oisterwijk";32503;"22-02-2023";"07-03-2023";30;92,3;4;12,3
"Oldambt";38521;"22-02-2023";"07-03-2023";7;18,2;0;0
"Oldebroek";23930;"22-02-2023";"07-03-2023";11;46;3;12,5
"Oldenzaal";31741;"22-02-2023";"07-03-2023";19;59,9;3;9,5
"Olst-Wijhe";18496;"22-02-2023";"07-03-2023";6;32,4;2;10,8
"Ommen";18457;"22-02-2023";"07-03-2023";10;54,2;2;10,8
"Oost Gelre";29603;"22-02-2023";"07-03-2023";4;13,5;1;3,4
"Oosterhout";56535;"22-02-2023";"07-03-2023";19;33,6;13;23
"Ooststellingwerf";25680;"22-02-2023";"07-03-2023";3;11,7;1;3,9
"Oostzaan";9639;"22-02-2023";"07-03-2023";5;51,9;0;0
"Opmeer";12074;"22-02-2023";"07-03-2023";2;16,6;0;0
"Opsterland";29791;"22-02-2023";"07-03-2023";4;13,4;1;3,4
"Oss";93307;"22-02-2023";"07-03-2023";57;61,1;8;8,6
"Oude IJsselstreek";39387;"22-02-2023";"07-03-2023";19;48,2;4;10,2
"Ouder-Amstel";14212;"22-02-2023";"07-03-2023";5;35,2;2;14,1
"Oudewater";10159;"22-02-2023";"07-03-2023";8;78,7;0;0
"Overbetuwe";48266;"22-02-2023";"07-03-2023";36;74,6;11;22,8
"Papendrecht";32208;"22-02-2023";"07-03-2023";13;40,4;2;6,2
"Peel en Maas";44278;"22-02-2023";"07-03-2023";20;45,2;1;2,3
"Pekela";12196;"22-02-2023";"07-03-2023";3;24,6;0;0
"Pijnacker-Nootdorp";56572;"22-02-2023";"07-03-2023";14;24,7;3;5,3
"Purmerend";92240;"22-02-2023";"07-03-2023";58;62,9;4;4,3
"Putten";24598;"22-02-2023";"07-03-2023";18;73,2;5;20,3
"Raalte";38140;"22-02-2023";"07-03-2023";15;39,3;5;13,1
"Reimerswaal";22920;"22-02-2023";"07-03-2023";7;30,5;3;13,1
"Renkum";31358;"22-02-2023";"07-03-2023";25;79,7;3;9,6
"Renswoude";5651;"22-02-2023";"07-03-2023";2;35,4;0;0
"Reusel-De Mierden";13271;"22-02-2023";"07-03-2023";2;15,1;0;0
"Rheden";43435;"22-02-2023";"07-03-2023";90;207,2;1;2,3
"Rhenen";20265;"22-02-2023";"07-03-2023";6;29,6;1;4,9
"Ridderkerk";47099;"22-02-2023";"07-03-2023";8;17;2;4,2
"Rijssen-Holten";38231;"22-02-2023";"07-03-2023";9;23,5;3;7,8
"Rijswijk";56941;"22-02-2023";"07-03-2023";15;26,3;3;5,3
"Roerdalen";20558;"22-02-2023";"07-03-2023";21;102,2;0;0
"Roermond";59184;"22-02-2023";"07-03-2023";46;77,7;1;1,7
"Roosendaal";77244;"22-02-2023";"07-03-2023";49;63,4;9;11,7
"Rotterdam";655468;"22-02-2023";"07-03-2023";184;28,1;27;4,1
"Rozendaal";1756;"22-02-2023";"07-03-2023";0;0;0;0
"Rucphen";23326;"22-02-2023";"07-03-2023";3;12,9;4;17,1
"Schagen";46833;"22-02-2023";"07-03-2023";13;27,8;3;6,4
"Scherpenzeel";10317;"22-02-2023";"07-03-2023";2;19,4;0;0
"Schiedam";79644;"22-02-2023";"07-03-2023";13;16,3;2;2,5
"Schiermonnikoog";944;"22-02-2023";"07-03-2023";0;0;0;0
"Schouwen-Duiveland";34152;"22-02-2023";"07-03-2023";11;32,2;1;2,9
"Simpelveld";10425;"22-02-2023";"07-03-2023";7;67,1;1;9,6
"Sint-Michielsgestel";29731;"22-02-2023";"07-03-2023";29;97,5;10;33,6
"Sittard-Geleen";91719;"22-02-2023";"07-03-2023";68;74,1;10;10,9
"Sliedrecht";25897;"22-02-2023";"07-03-2023";7;27;1;3,9
"Sluis";23141;"22-02-2023";"07-03-2023";10;43,2;1;4,3
"Smallingerland";55895;"22-02-2023";"07-03-2023";8;14,3;1;1,8
"Soest";47113;"22-02-2023";"07-03-2023";19;40,3;1;2,1
"Someren";19701;"22-02-2023";"07-03-2023";10;50,8;4;20,3
"Son en Breugel";17775;"22-02-2023";"07-03-2023";7;39,4;1;5,6
"Stadskanaal";31851;"22-02-2023";"07-03-2023";4;12,6;1;3,1
"Staphorst";17282;"22-02-2023";"07-03-2023";3;17,4;0;0
"Stede Broec";21947;"22-02-2023";"07-03-2023";4;18,2;0;0
"Steenbergen";24333;"22-02-2023";"07-03-2023";8;32,9;8;32,9
"Steenwijkerland";44741;"22-02-2023";"07-03-2023";16;35,8;2;4,5
"Stein";24803;"22-02-2023";"07-03-2023";22;88,7;2;8,1
"Stichtse Vecht";65240;"22-02-2023";"07-03-2023";14;21,5;4;6,1
"Súdwest-Fryslân";90300;"22-02-2023";"07-03-2023";17;18,8;6;6,6
"Terneuzen";54501;"22-02-2023";"07-03-2023";26;47,7;5;9,2
"Terschelling";4960;"22-02-2023";"07-03-2023";0;0;0;0
"Texel";13687;"22-02-2023";"07-03-2023";4;29,2;1;7,3
"Teylingen";37942;"22-02-2023";"07-03-2023";9;23,7;1;2,6
"Tholen";26401;"22-02-2023";"07-03-2023";8;30,3;2;7,6
"Tiel";42277;"22-02-2023";"07-03-2023";27;63,9;6;14,2
"Tilburg";224459;"22-02-2023";"07-03-2023";142;63,3;18;8
"Tubbergen";21364;"22-02-2023";"07-03-2023";16;74,9;3;14
"Twenterand";33718;"22-02-2023";"07-03-2023";10;29,7;4;11,9
"Tynaarlo";34221;"22-02-2023";"07-03-2023";6;17,5;0;0
"Tytsjerksteradiel";32282;"22-02-2023";"07-03-2023";9;27,9;1;3,1
"Uitgeest";13563;"22-02-2023";"07-03-2023";2;14,7;0;0
"Uithoorn";31018;"22-02-2023";"07-03-2023";1;3,2;0;0
"Urk";21468;"22-02-2023";"07-03-2023";0;0;0;0
"Utrecht";361699;"22-02-2023";"07-03-2023";115;31,8;22;6,1
"Utrechtse Heuvelrug";49981;"22-02-2023";"07-03-2023";6;12;3;6
"Vaals";10135;"22-02-2023";"07-03-2023";4;39,5;1;9,9
"Valkenburg aan de Geul";16167;"22-02-2023";"07-03-2023";11;68;2;12,4
"Valkenswaard";31236;"22-02-2023";"07-03-2023";19;60,8;2;6,4
"Veendam";27466;"22-02-2023";"07-03-2023";8;29,1;0;0
"Veenendaal";67671;"22-02-2023";"07-03-2023";23;34;0;0
"Veere";21850;"22-02-2023";"07-03-2023";4;18,3;1;4,6
"Veldhoven";45822;"22-02-2023";"07-03-2023";17;37,1;6;13,1
"Velsen";68482;"22-02-2023";"07-03-2023";23;33,6;2;2,9
"Venlo";102136;"22-02-2023";"07-03-2023";103;100,8;2;2
"Venray";43964;"22-02-2023";"07-03-2023";35;79,6;1;2,3
"Vijfheerenlanden";58788;"22-02-2023";"07-03-2023";8;13,6;3;5,1
"Vlaardingen";74143;"22-02-2023";"07-03-2023";21;28,3;3;4
"Vlieland";1195;"22-02-2023";"07-03-2023";1;83,7;0;0
"Vlissingen";44585;"22-02-2023";"07-03-2023";13;29,2;2;4,5
"Voerendaal";12426;"22-02-2023";"07-03-2023";9;72,4;2;16,1
"Voorne aan Zee";73238;"22-02-2023";"07-03-2023";13;17,8;8;10,9
"Voorschoten";25627;"22-02-2023";"07-03-2023";7;27,3;1;3,9
"Voorst";24994;"22-02-2023";"07-03-2023";24;96;4;16
"Vught";31783;"22-02-2023";"07-03-2023";17;53,5;3;9,4
"Waadhoeke";46309;"22-02-2023";"07-03-2023";5;10,8;1;2,2
"Waalre";17626;"22-02-2023";"07-03-2023";16;90,8;0;0
"Waalwijk";49342;"22-02-2023";"07-03-2023";22;44,6;1;2
"Waddinxveen";31342;"22-02-2023";"07-03-2023";14;44,7;5;16
"Wageningen";39939;"22-02-2023";"07-03-2023";36;90,1;1;2,5
"Wassenaar";27115;"22-02-2023";"07-03-2023";6;22,1;1;3,7
"Waterland";17343;"22-02-2023";"07-03-2023";4;23,1;1;5,8
"Weert";50346;"22-02-2023";"07-03-2023";41;81,4;3;6
"West Betuwe";51971;"22-02-2023";"07-03-2023";16;30,8;4;7,7
"West Maas en Waal";19675;"22-02-2023";"07-03-2023";12;61;4;20,3
"Westerkwartier";64306;"22-02-2023";"07-03-2023";9;14;0;0
"Westerveld";19854;"22-02-2023";"07-03-2023";2;10,1;1;5
"Westervoort";14944;"22-02-2023";"07-03-2023";9;60,2;0;0
"Westerwolde";26571;"22-02-2023";"07-03-2023";5;18,8;4;15,1
"Westland";112448;"22-02-2023";"07-03-2023";68;60,5;6;5,3
"Weststellingwerf";26278;"22-02-2023";"07-03-2023";16;60,9;6;22,8
"Wierden";24643;"22-02-2023";"07-03-2023";3;12,2;1;4,1
"Wijchen";41344;"22-02-2023";"07-03-2023";25;60,5;7;16,9
"Wijdemeren";24494;"22-02-2023";"07-03-2023";4;16,3;0;0
"Wijk bij Duurstede";23921;"22-02-2023";"07-03-2023";8;33,4;3;12,5
"Winterswijk";29185;"22-02-2023";"07-03-2023";11;37,7;3;10,3
"Woensdrecht";22112;"22-02-2023";"07-03-2023";2;9;1;4,5
"Woerden";52882;"22-02-2023";"07-03-2023";14;26,5;5;9,5
"Wormerland";16381;"22-02-2023";"07-03-2023";1;6,1;0;0
"Woudenberg";13873;"22-02-2023";"07-03-2023";2;14,4;0;0
"Zaanstad";157166;"22-02-2023";"07-03-2023";59;37,5;7;4,5
"Zaltbommel";29957;"22-02-2023";"07-03-2023";5;16,7;3;10
"Zandvoort";17107;"22-02-2023";"07-03-2023";5;29,2;0;0
"Zeewolde";23348;"22-02-2023";"07-03-2023";8;34,3;2;8,6
"Zeist";65987;"22-02-2023";"07-03-2023";20;30,3;3;4,5
"Zevenaar";44645;"22-02-2023";"07-03-2023";44;98,6;4;9
"Zoetermeer";125767;"22-02-2023";"07-03-2023";20;15,9;6;4,8
"Zoeterwoude";9302;"22-02-2023";"07-03-2023";2;21,5;0;0
"Zuidplas";45794;"22-02-2023";"07-03-2023";11;24;3;6,6
"Zundert";22260;"22-02-2023";"07-03-2023";5;22,5;1;4,5
"Zutphen";48330;"22-02-2023";"07-03-2023";14;29;7;14,5
"Zwartewaterland";23012;"22-02-2023";"07-03-2023";4;17,4;1;4,3
"Zwijndrecht";44789;"22-02-2023";"07-03-2023";19;42,4;6;13,4
"Zwolle";130668;"22-02-2023";"07-03-2023";64;49;11;8,4
