"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"Valkenswaard";176;564.1;19;60.9;37;118.6
"Veendam";8;29.2;2;7.3;0;0
"Veenendaal";179;269.2;48;72.2;10;15
"Veere";27;123.4;6;27.4;2;9.1
"Veldhoven";128;281.6;31;68.2;16;35.2
"Velsen";277;403.4;32;46.6;39;56.8
"Venlo";301;295.7;128;125.7;63;61.9
"Venray";106;243.1;37;84.9;17;39
"Vijfheerenlanden";265;466.4;35;61.6;37;65.1
"Vlaardingen";271;369;43;58.5;29;39.5
"Vlieland";0;0;0;0;0;0
"Vlissingen";50;112.7;9;20.3;5;11.3
"Voerendaal";45;360.8;17;136.3;7;56.1
"Voorschoten";61;238.3;9;35.2;10;39.1
"Voorst";51;207.8;18;73.3;11;44.8
"Vught";102;384.1;42;158.2;18;67.8
"Waadhoeke";100;217;12;26;15;32.6
"Waalre";29;166.2;7;40.1;5;28.6
"Waalwijk";159;327;34;69.9;32;65.8
"Waddinxveen";73;249.2;16;54.6;7;23.9
"Wageningen";51;128.6;20;50.4;9;22.7
"Wassenaar";51;194.6;9;34.3;12;45.8
"Waterland";30;172.2;16;91.8;4;23
"Weert";132;263.4;67;133.7;14;27.9
"Weesp";77;390.3;9;45.6;11;55.8
"West Betuwe";191;373.1;42;82;26;50.8
"West Maas en Waal";84;434.8;19;98.3;9;46.6
"Westerkwartier";57;89.9;14;22.1;4;6.3
"Westerveld";32;164.4;9;46.2;4;20.6
"Westervoort";37;247.1;12;80.1;5;33.4
"Westerwolde";6;23.3;5;19.4;0;0
"Westland";263;238.3;57;51.7;30;27.2
"Weststellingwerf";28;108;3;11.6;4;15.4
"Westvoorne";25;169.7;6;40.7;0;0
"Wierden";49;200.5;5;20.5;6;24.5
"Wijchen";142;345.3;43;104.6;13;31.6
"Wijdemeren";32;131.4;8;32.8;0;0
"Wijk bij Duurstede";35;146.4;9;37.6;1;4.2
"Winterswijk";43;149;7;24.3;3;10.4
"Woensdrecht";64;292.5;5;22.8;7;32
"Woerden";170;325.1;49;93.7;20;38.2
"Wormerland";45;276.1;20;122.7;6;36.8
"Woudenberg";31;232;9;67.4;2;15
"Zaanstad";425;271.2;117;74.7;48;30.6
"Zaltbommel";97;335.6;20;69.2;9;31.1
"Zandvoort";32;187;10;58.4;8;46.7
"Zeewolde";47;207.5;12;53;5;22.1
"Zeist";183;281.8;36;55.4;23;35.4
"Zevenaar";107;244.6;43;98.3;15;34.3
"Zoetermeer";187;149.3;51;40.7;12;9.6
"Zoeterwoude";13;151;3;34.8;1;11.6
"Zuidplas";129;293.9;23;52.4;20;45.6
"Zundert";86;394.1;21;96.2;10;45.8
"Zutphen";99;206.5;31;64.7;13;27.1
"Zwartewaterland";145;639;35;154.3;19;83.7
"Zwijndrecht";154;344.2;23;51.4;27;60.3
"Zwolle";350;271.7;53;41.1;46;35.7
