"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Eindhoven";772;"Eindhoven";234394;"21-04-2021";"04-05-2021";1543;658.3;4;1.7;6;2.6
"Elburg";230;"Elburg";23161;"21-04-2021";"04-05-2021";107;462;1;4.3;0;0
"Emmen";114;"Emmen";107048;"21-04-2021";"04-05-2021";402;375.5;5;4.7;0;0
"Enkhuizen";388;"Enkhuizen";18591;"21-04-2021";"04-05-2021";49;263.6;0;0;0;0
"Enschede";153;"Enschede";159640;"21-04-2021";"04-05-2021";763;478;6;3.8;0;0
"Epe";232;"Epe";33178;"21-04-2021";"04-05-2021";142;428;0;0;3;9
"Ermelo";233;"Ermelo";27008;"21-04-2021";"04-05-2021";101;374;0;0;1;3.7
"Etten-Leur";777;"Etten-Leur";43878;"21-04-2021";"04-05-2021";267;608.5;0;0;0;0
"Geertruidenberg";779;"Geertruidenberg";21544;"21-04-2021";"04-05-2021";148;687;1;4.6;0;0
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";39726;"21-04-2021";"04-05-2021";260;654.5;0;0;0;0
"Gemert-Bakel";1652;"Gemert-Bakel";30723;"21-04-2021";"04-05-2021";212;690;1;3.3;0;0
"Gennep";907;"Gennep";16921;"21-04-2021";"04-05-2021";80;472.8;0;0;0;0
"Gilze en Rijen";784;"Gilze en Rijen";26431;"21-04-2021";"04-05-2021";204;771.8;1;3.8;0;0
"Goeree-Overflakkee";1924;"Goeree-Overflakkee";50049;"21-04-2021";"04-05-2021";294;587.4;2;4;0;0
"Goes";664;"Goes";38082;"21-04-2021";"04-05-2021";189;496.3;1;2.6;0;0
"Goirle";785;"Goirle";23904;"21-04-2021";"04-05-2021";148;619.1;0;0;0;0
"Gooise Meren";1942;"Gooise Meren";58055;"21-04-2021";"04-05-2021";236;406.5;0;0;1;1.7
"Gorinchem";512;"Gorinchem";37022;"21-04-2021";"04-05-2021";219;591.5;0;0;0;0
"Gouda";513;"Gouda";73427;"21-04-2021";"04-05-2021";551;750.4;29;39.5;5;6.8
"Grave";786;"Grave";12436;"21-04-2021";"04-05-2021";88;707.6;0;0;0;0
"'s-Gravenhage";518;"'s-Gravenhage";545838;"21-04-2021";"04-05-2021";3399;622.7;48;8.8;3;0.5
"Groningen";14;"Groningen";232874;"21-04-2021";"04-05-2021";824;353.8;4;1.7;1;0.4
"Gulpen-Wittem";1729;"Gulpen-Wittem";14171;"21-04-2021";"04-05-2021";53;374;0;0;0;0
"Haaksbergen";158;"Haaksbergen";24311;"21-04-2021";"04-05-2021";102;419.6;0;0;0;0
"Haarlem";392;"Haarlem";162902;"21-04-2021";"04-05-2021";732;449.3;8;4.9;1;0.6
