"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000"
"Land van Cuijk";90707;"05-04-2023";"18-04-2023";2;2,2
"Landgraaf";37023;"05-04-2023";"18-04-2023";0;0
"Landsmeer";11560;"05-04-2023";"18-04-2023";0;0
"Lansingerland";64110;"05-04-2023";"18-04-2023";0;0
"Laren";11528;"05-04-2023";"18-04-2023";0;0
"Leeuwarden";125504;"05-04-2023";"18-04-2023";0;0
"Leiden";125074;"05-04-2023";"18-04-2023";2;1,6
"Leiderdorp";27464;"05-04-2023";"18-04-2023";0;0
"Leidschendam-Voorburg";76659;"05-04-2023";"18-04-2023";1;1,3
"Lelystad";81214;"05-04-2023";"18-04-2023";1;1,2
"Leudal";35928;"05-04-2023";"18-04-2023";0;0
"Leusden";30713;"05-04-2023";"18-04-2023";0;0
"Lingewaard";46963;"05-04-2023";"18-04-2023";2;4,3
"Lisse";23015;"05-04-2023";"18-04-2023";1;4,3
"Lochem";34069;"05-04-2023";"18-04-2023";1;2,9
"Loon op Zand";23768;"05-04-2023";"18-04-2023";0;0
"Lopik";14512;"05-04-2023";"18-04-2023";2;13,8
"Losser";23084;"05-04-2023";"18-04-2023";3;13
"Maasdriel";25504;"05-04-2023";"18-04-2023";1;3,9
"Maasgouw";24028;"05-04-2023";"18-04-2023";0;0
"Maashorst";58362;"05-04-2023";"18-04-2023";1;1,7
"Maassluis";34148;"05-04-2023";"18-04-2023";1;2,9
"Maastricht";121151;"05-04-2023";"18-04-2023";0;0
"Medemblik";45464;"05-04-2023";"18-04-2023";2;4,4
"Meerssen";18581;"05-04-2023";"18-04-2023";0;0
"Meierijstad";82613;"05-04-2023";"18-04-2023";1;1,2
"Meppel";34761;"05-04-2023";"18-04-2023";2;5,8
"Middelburg";49199;"05-04-2023";"18-04-2023";1;2
"Midden-Delfland";19484;"05-04-2023";"18-04-2023";0;0
"Midden-Drenthe";33689;"05-04-2023";"18-04-2023";0;0
"Midden-Groningen";60898;"05-04-2023";"18-04-2023";4;6,6
"Moerdijk";37313;"05-04-2023";"18-04-2023";0;0
"Molenlanden";44644;"05-04-2023";"18-04-2023";0;0
"Montferland";36359;"05-04-2023";"18-04-2023";0;0
"Montfoort";13818;"05-04-2023";"18-04-2023";0;0
"Mook en Middelaar";7989;"05-04-2023";"18-04-2023";1;12,5
