"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000"
"Heemstede";27557;"15-03-2023";"28-03-2023";5;18,1;0;0
"Heerde";18976;"15-03-2023";"28-03-2023";4;21,1;2;10,5
"Heerenveen";51119;"15-03-2023";"28-03-2023";12;23,5;8;15,6
"Heerlen";86845;"15-03-2023";"28-03-2023";16;18,4;4;4,6
"Heeze-Leende";16470;"15-03-2023";"28-03-2023";2;12,1;2;12,1
"Heiloo";24417;"15-03-2023";"28-03-2023";7;28,7;2;8,2
"Hellendoorn";35940;"15-03-2023";"28-03-2023";3;8,3;0;0
"Helmond";93476;"15-03-2023";"28-03-2023";17;18,2;12;12,8
"Hendrik-Ido-Ambacht";31663;"15-03-2023";"28-03-2023";5;15,8;1;3,2
"Hengelo";81476;"15-03-2023";"28-03-2023";11;13,5;0;0
"Het Hogeland";48022;"15-03-2023";"28-03-2023";10;20,8;1;2,1
"Heumen";17175;"15-03-2023";"28-03-2023";3;17,5;2;11,6
"Heusden";45557;"15-03-2023";"28-03-2023";6;13,2;3;6,6
"Hillegom";22312;"15-03-2023";"28-03-2023";7;31,4;2;9
"Hilvarenbeek";15810;"15-03-2023";"28-03-2023";2;12,7;1;6,3
"Hilversum";91733;"15-03-2023";"28-03-2023";3;3,3;0;0
"Hoeksche Waard";88715;"15-03-2023";"28-03-2023";10;11,3;4;4,5
"Hof van Twente";35056;"15-03-2023";"28-03-2023";4;11,4;3;8,6
"Hollands Kroon";48778;"15-03-2023";"28-03-2023";12;24,6;6;12,3
"Hoogeveen";55857;"15-03-2023";"28-03-2023";14;25,1;4;7,2
"Hoorn";74298;"15-03-2023";"28-03-2023";8;10,8;4;5,4
"Horst aan de Maas";43039;"15-03-2023";"28-03-2023";11;25,6;0;0
"Houten";50323;"15-03-2023";"28-03-2023";9;17,9;6;11,9
"Huizen";40938;"15-03-2023";"28-03-2023";2;4,9;0;0
"Hulst";27533;"15-03-2023";"28-03-2023";12;43,6;4;14,5
"IJsselstein";33429;"15-03-2023";"28-03-2023";2;6;1;3
"Kaag en Braassem";27895;"15-03-2023";"28-03-2023";8;28,7;0;0
"Kampen";54791;"15-03-2023";"28-03-2023";7;12,8;2;3,7
"Kapelle";13020;"15-03-2023";"28-03-2023";6;46,1;1;7,7
"Katwijk";66032;"15-03-2023";"28-03-2023";11;16,7;5;7,6
"Kerkrade";45324;"15-03-2023";"28-03-2023";10;22,1;2;4,4
"Koggenland";23048;"15-03-2023";"28-03-2023";5;21,7;1;4,3
"Krimpen aan den IJssel";29415;"15-03-2023";"28-03-2023";8;27,2;3;10,2
"Krimpenerwaard";57062;"15-03-2023";"28-03-2023";9;15,8;5;8,8
"Laarbeek";22943;"15-03-2023";"28-03-2023";5;21,8;3;13,1
"Land van Cuijk";90707;"15-03-2023";"28-03-2023";17;18,7;7;7,7
"Landgraaf";37023;"15-03-2023";"28-03-2023";9;24,3;1;2,7
"Landsmeer";11560;"15-03-2023";"28-03-2023";0;0;0;0
"Lansingerland";64110;"15-03-2023";"28-03-2023";5;7,8;2;3,1
"Laren";11528;"15-03-2023";"28-03-2023";0;0;0;0
"Leeuwarden";125504;"15-03-2023";"28-03-2023";40;31,9;11;8,8
"Leiden";125074;"15-03-2023";"28-03-2023";29;23,2;9;7,2
"Leiderdorp";27464;"15-03-2023";"28-03-2023";7;25,5;1;3,6
"Leidschendam-Voorburg";76659;"15-03-2023";"28-03-2023";24;31,3;1;1,3
"Lelystad";81214;"15-03-2023";"28-03-2023";31;38,2;10;12,3
"Leudal";35928;"15-03-2023";"28-03-2023";7;19,5;0;0
"Leusden";30713;"15-03-2023";"28-03-2023";6;19,5;1;3,3
"Lingewaard";46963;"15-03-2023";"28-03-2023";13;27,7;5;10,6
"Lisse";23015;"15-03-2023";"28-03-2023";5;21,7;1;4,3
"Lochem";34069;"15-03-2023";"28-03-2023";4;11,7;2;5,9
"Loon op Zand";23768;"15-03-2023";"28-03-2023";1;4,2;1;4,2
"Lopik";14512;"15-03-2023";"28-03-2023";5;34,5;2;13,8
"Losser";23084;"15-03-2023";"28-03-2023";3;13;4;17,3
"Maasdriel";25504;"15-03-2023";"28-03-2023";2;7,8;0;0
"Maasgouw";24028;"15-03-2023";"28-03-2023";11;45,8;2;8,3
"Maashorst";58362;"15-03-2023";"28-03-2023";11;18,8;6;10,3
"Maassluis";34148;"15-03-2023";"28-03-2023";9;26,4;1;2,9
"Maastricht";121151;"15-03-2023";"28-03-2023";21;17,3;0;0
"Medemblik";45464;"15-03-2023";"28-03-2023";6;13,2;1;2,2
"Meerssen";18581;"15-03-2023";"28-03-2023";2;10,8;0;0
"Meierijstad";82613;"15-03-2023";"28-03-2023";11;13,3;4;4,8
"Meppel";34761;"15-03-2023";"28-03-2023";4;11,5;1;2,9
"Middelburg";49199;"15-03-2023";"28-03-2023";8;16,3;1;2
"Midden-Delfland";19484;"15-03-2023";"28-03-2023";8;41,1;3;15,4
"Midden-Drenthe";33689;"15-03-2023";"28-03-2023";5;14,8;0;0
"Midden-Groningen";60898;"15-03-2023";"28-03-2023";17;27,9;7;11,5
"Moerdijk";37313;"15-03-2023";"28-03-2023";4;10,7;7;18,8
"Molenlanden";44644;"15-03-2023";"28-03-2023";7;15,7;2;4,5
"Montferland";36359;"15-03-2023";"28-03-2023";11;30,3;5;13,8
"Montfoort";13818;"15-03-2023";"28-03-2023";0;0;1;7,2
"Mook en Middelaar";7989;"15-03-2023";"28-03-2023";0;0;0;0
"Neder-Betuwe";25032;"15-03-2023";"28-03-2023";8;32;5;20
"Nederweert";17323;"15-03-2023";"28-03-2023";4;23,1;0;0
"Nieuwegein";64554;"15-03-2023";"28-03-2023";10;15,5;5;7,7
"Nieuwkoop";29304;"15-03-2023";"28-03-2023";8;27,3;2;6,8
"Nijkerk";44311;"15-03-2023";"28-03-2023";12;27,1;1;2,3
"Nijmegen";179100;"15-03-2023";"28-03-2023";39;21,8;16;8,9
"Nissewaard";86332;"15-03-2023";"28-03-2023";14;16,2;7;8,1
"Noardeast-Fryslân";45593;"15-03-2023";"28-03-2023";9;19,7;1;2,2
"Noord-Beveland";7668;"15-03-2023";"28-03-2023";1;13;1;13
"Noordenveld";31238;"15-03-2023";"28-03-2023";3;9,6;1;3,2
"Noordoostpolder";48048;"15-03-2023";"28-03-2023";3;6,2;3;6,2
"Noordwijk";44365;"15-03-2023";"28-03-2023";7;15,8;3;6,8
