"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"Geldrop-Mierlo";40131;"16-11-2022";"29-11-2022";15;37,4;1;2,5;0;0
"Gemert-Bakel";31040;"16-11-2022";"29-11-2022";8;25,8;4;12,9;0;0
"Gennep";17237;"16-11-2022";"29-11-2022";4;23,2;0;0;0;0
"Gilze en Rijen";26557;"16-11-2022";"29-11-2022";7;26,4;0;0;0;0
"Goeree-Overflakkee";51051;"16-11-2022";"29-11-2022";32;62,7;3;5,9;0;0
"Goes";38950;"16-11-2022";"29-11-2022";41;105,3;3;7,7;0;0
"Goirle";23979;"16-11-2022";"29-11-2022";11;45,9;3;12,5;0;0
"Gooise Meren";58846;"16-11-2022";"29-11-2022";38;64,6;0;0;0;0
"Gorinchem";37632;"16-11-2022";"29-11-2022";13;34,5;2;5,3;0;0
"Gouda";74095;"16-11-2022";"29-11-2022";58;78,3;4;5,4;0;0
"Groningen";234950;"16-11-2022";"29-11-2022";95;40,4;1;0,4;0;0
"Gulpen-Wittem";14178;"16-11-2022";"29-11-2022";8;56,4;0;0;0;0
"Haaksbergen";24268;"16-11-2022";"29-11-2022";5;20,6;0;0;0;0
"Haarlem";162898;"16-11-2022";"29-11-2022";75;46;2;1,2;0;0
"Haarlemmermeer";159336;"16-11-2022";"29-11-2022";68;42,7;3;1,9;0;0
"Halderberge";30770;"16-11-2022";"29-11-2022";10;32,5;1;3,2;0;0
"Hardenberg";61798;"16-11-2022";"29-11-2022";34;55;7;11,3;0;0
"Harderwijk";48857;"16-11-2022";"29-11-2022";23;47,1;0;0;0;0
"Hardinxveld-Giessendam";18511;"16-11-2022";"29-11-2022";4;21,6;0;0;0;0
"Harlingen";15904;"16-11-2022";"29-11-2022";3;18,9;0;0;0;0
"Hattem";12307;"16-11-2022";"29-11-2022";3;24,4;1;8,1;0;0
"Heemskerk";39189;"16-11-2022";"29-11-2022";14;35,7;1;2,6;0;0
"Heemstede";27557;"16-11-2022";"29-11-2022";17;61,7;0;0;0;0
"Heerde";18976;"16-11-2022";"29-11-2022";5;26,3;0;0;0;0
"Heerenveen";51119;"16-11-2022";"29-11-2022";28;54,8;2;3,9;0;0
"Heerlen";86845;"16-11-2022";"29-11-2022";88;101,3;2;2,3;0;0
"Heeze-Leende";16470;"16-11-2022";"29-11-2022";2;12,1;0;0;0;0
"Heiloo";24417;"16-11-2022";"29-11-2022";15;61,4;3;12,3;0;0
"Hellendoorn";35940;"16-11-2022";"29-11-2022";9;25;0;0;0;0
"Hellevoetsluis";40574;"16-11-2022";"29-11-2022";22;54,2;4;9,9;1;2,5
"Helmond";93476;"16-11-2022";"29-11-2022";38;40,7;7;7,5;0;0
"Hendrik-Ido-Ambacht";31663;"16-11-2022";"29-11-2022";4;12,6;1;3,2;0;0
"Hengelo";81476;"16-11-2022";"29-11-2022";44;54;2;2,5;0;0
"Het Hogeland";48022;"16-11-2022";"29-11-2022";31;64,6;3;6,2;0;0
"Heumen";17175;"16-11-2022";"29-11-2022";15;87,3;1;5,8;0;0
"Heusden";45557;"16-11-2022";"29-11-2022";24;52,7;1;2,2;0;0
"Hillegom";22312;"16-11-2022";"29-11-2022";14;62,7;1;4,5;0;0
"Hilvarenbeek";15810;"16-11-2022";"29-11-2022";20;126,5;0;0;0;0
"Hilversum";91733;"16-11-2022";"29-11-2022";53;57,8;0;0;0;0
"Hoeksche Waard";88715;"16-11-2022";"29-11-2022";39;44;2;2,3;0;0
"Hof van Twente";35056;"16-11-2022";"29-11-2022";5;14,3;1;2,9;0;0
"Hollands Kroon";48778;"16-11-2022";"29-11-2022";17;34,9;3;6,2;0;0
